gene_id	tsig
ENSG00000179091	MitoCarta
ENSG00000117118	MitoCarta
ENSG00000167186	MitoCarta
ENSG00000073578	MitoCarta
ENSG00000010256	MitoCarta
ENSG00000110871	MitoCarta
ENSG00000131828	MitoCarta
ENSG00000088682	MitoCarta
ENSG00000262814	MitoCarta
ENSG00000099624	MitoCarta
ENSG00000178741	MitoCarta
ENSG00000165898	MitoCarta
ENSG00000105819	MitoCarta
ENSG00000169021	MitoCarta
ENSG00000152234	MitoCarta
ENSG00000105953	MitoCarta
ENSG00000168291	MitoCarta
ENSG00000140740	MitoCarta
ENSG00000204370	MitoCarta
ENSG00000061794	MitoCarta
ENSG00000164405	MitoCarta
ENSG00000204822	MitoCarta
ENSG00000137992	MitoCarta
ENSG00000004799	MitoCarta
ENSG00000146701	MitoCarta
ENSG00000113048	MitoCarta
ENSG00000062485	MitoCarta
ENSG00000109519	MitoCarta
ENSG00000150768	MitoCarta
ENSG00000138095	MitoCarta
ENSG00000119689	MitoCarta
ENSG00000110435	MitoCarta
ENSG00000168827	MitoCarta
ENSG00000143158	MitoCarta
ENSG00000023228	MitoCarta
ENSG00000259494	MitoCarta
ENSG00000124172	MitoCarta
ENSG00000075415	MitoCarta
ENSG00000181610	MitoCarta
ENSG00000091483	MitoCarta
ENSG00000165688	MitoCarta
ENSG00000110955	MitoCarta
ENSG00000154079	MitoCarta
ENSG00000184076	MitoCarta
ENSG00000135070	MitoCarta
ENSG00000136143	MitoCarta
ENSG00000132423	MitoCarta
ENSG00000067704	MitoCarta
ENSG00000116898	MitoCarta
ENSG00000166411	MitoCarta
ENSG00000166260	MitoCarta
ENSG00000171503	MitoCarta
ENSG00000134809	MitoCarta
ENSG00000130312	MitoCarta
ENSG00000112651	MitoCarta
ENSG00000248098	MitoCarta
ENSG00000173660	MitoCarta
ENSG00000146066	MitoCarta
ENSG00000241837	MitoCarta
ENSG00000127884	MitoCarta
ENSG00000050426	MitoCarta
ENSG00000111775	MitoCarta
ENSG00000014919	MitoCarta
ENSG00000141385	MitoCarta
ENSG00000084754	MitoCarta
ENSG00000140374	MitoCarta
ENSG00000115286	MitoCarta
ENSG00000157184	MitoCarta
ENSG00000083123	MitoCarta
ENSG00000101365	MitoCarta
ENSG00000011376	MitoCarta
ENSG00000122971	MitoCarta
ENSG00000168924	MitoCarta
ENSG00000169020	MitoCarta
ENSG00000198836	MitoCarta
ENSG00000148090	MitoCarta
ENSG00000163541	MitoCarta
ENSG00000178127	MitoCarta
ENSG00000119723	MitoCarta
ENSG00000055950	MitoCarta
ENSG00000106077	MitoCarta
ENSG00000154723	MitoCarta
ENSG00000166136	MitoCarta
ENSG00000196365	MitoCarta
ENSG00000091140	MitoCarta
ENSG00000156709	MitoCarta
ENSG00000134463	MitoCarta
ENSG00000155008	MitoCarta
ENSG00000159111	MitoCarta
ENSG00000148187	MitoCarta
ENSG00000110717	MitoCarta
ENSG00000117054	MitoCarta
ENSG00000132305	MitoCarta
ENSG00000100575	MitoCarta
ENSG00000151729	MitoCarta
ENSG00000100347	MitoCarta
ENSG00000158864	MitoCarta
ENSG00000167792	MitoCarta
ENSG00000100412	MitoCarta
ENSG00000156502	MitoCarta
ENSG00000066926	MitoCarta
ENSG00000085760	MitoCarta
ENSG00000167085	MitoCarta
ENSG00000198130	MitoCarta
ENSG00000122140	MitoCarta
ENSG00000113013	MitoCarta
ENSG00000148290	MitoCarta
ENSG00000165672	MitoCarta
ENSG00000165678	MitoCarta
ENSG00000151806	MitoCarta
ENSG00000099800	MitoCarta
ENSG00000214113	MitoCarta
ENSG00000166902	MitoCarta
ENSG00000185608	MitoCarta
ENSG00000067829	MitoCarta
ENSG00000143252	MitoCarta
ENSG00000136521	MitoCarta
ENSG00000167985	MitoCarta
ENSG00000135469	MitoCarta
ENSG00000160221	MitoCarta
ENSG00000100348	MitoCarta
ENSG00000096080	MitoCarta
ENSG00000164919	MitoCarta
ENSG00000147684	MitoCarta
ENSG00000109919	MitoCarta
ENSG00000184983	MitoCarta
ENSG00000178537	MitoCarta
ENSG00000169288	MitoCarta
ENSG00000104980	MitoCarta
ENSG00000138495	MitoCarta
ENSG00000173436	MitoCarta
ENSG00000112096	MitoCarta
ENSG00000126267	MitoCarta
ENSG00000073905	MitoCarta
ENSG00000125656	MitoCarta
ENSG00000138796	MitoCarta
ENSG00000115361	MitoCarta
ENSG00000075239	MitoCarta
ENSG00000156928	MitoCarta
ENSG00000166855	MitoCarta
ENSG00000164258	MitoCarta
ENSG00000105364	MitoCarta
ENSG00000108561	MitoCarta
ENSG00000107959	MitoCarta
ENSG00000101019	MitoCarta
ENSG00000162910	MitoCarta
ENSG00000129282	MitoCarta
ENSG00000116353	MitoCarta
ENSG00000135900	MitoCarta
ENSG00000119471	MitoCarta
ENSG00000120333	MitoCarta
ENSG00000197150	MitoCarta
ENSG00000171953	MitoCarta
ENSG00000139180	MitoCarta
ENSG00000168275	MitoCarta
ENSG00000099821	MitoCarta
ENSG00000136003	MitoCarta
ENSG00000130347	MitoCarta
ENSG00000197444	MitoCarta
ENSG00000165629	MitoCarta
ENSG00000103507	MitoCarta
ENSG00000164347	MitoCarta
ENSG00000123545	MitoCarta
ENSG00000125434	MitoCarta
ENSG00000108528	MitoCarta
ENSG00000150779	MitoCarta
ENSG00000100294	MitoCarta
ENSG00000181873	MitoCarta
ENSG00000215021	MitoCarta
ENSG00000132676	MitoCarta
ENSG00000103121	MitoCarta
ENSG00000205138	MitoCarta
ENSG00000239789	MitoCarta
ENSG00000147576	MitoCarta
ENSG00000244005	MitoCarta
ENSG00000101247	MitoCarta
ENSG00000158042	MitoCarta
ENSG00000136463	MitoCarta
ENSG00000171109	MitoCarta
ENSG00000196850	MitoCarta
ENSG00000174547	MitoCarta
ENSG00000131143	MitoCarta
ENSG00000145494	MitoCarta
ENSG00000172172	MitoCarta
ENSG00000083720	MitoCarta
ENSG00000135940	MitoCarta
ENSG00000005882	MitoCarta
ENSG00000023330	MitoCarta
ENSG00000243147	MitoCarta
ENSG00000135297	MitoCarta
ENSG00000121897	MitoCarta
ENSG00000128609	MitoCarta
ENSG00000165264	MitoCarta
ENSG00000128654	MitoCarta
ENSG00000172340	MitoCarta
ENSG00000137714	MitoCarta
ENSG00000100075	MitoCarta
ENSG00000147586	MitoCarta
ENSG00000105197	MitoCarta
ENSG00000165637	MitoCarta
ENSG00000181035	MitoCarta
ENSG00000196683	MitoCarta
ENSG00000104823	MitoCarta
ENSG00000059691	MitoCarta
ENSG00000074582	MitoCarta
ENSG00000132591	MitoCarta
ENSG00000187118	MitoCarta
ENSG00000086504	MitoCarta
ENSG00000123297	MitoCarta
ENSG00000165060	MitoCarta
ENSG00000169599	MitoCarta
ENSG00000139131	MitoCarta
ENSG00000197345	MitoCarta
ENSG00000159423	MitoCarta
ENSG00000158882	MitoCarta
ENSG00000137806	MitoCarta
ENSG00000140990	MitoCarta
ENSG00000196177	MitoCarta
ENSG00000135972	MitoCarta
ENSG00000163050	MitoCarta
ENSG00000072778	MitoCarta
ENSG00000167113	MitoCarta
ENSG00000137547	MitoCarta
ENSG00000131495	MitoCarta
ENSG00000143314	MitoCarta
ENSG00000144381	MitoCarta
ENSG00000168653	MitoCarta
ENSG00000147853	MitoCarta
ENSG00000172115	MitoCarta
ENSG00000027001	MitoCarta
ENSG00000186687	MitoCarta
ENSG00000095321	MitoCarta
ENSG00000114054	MitoCarta
ENSG00000125445	MitoCarta
ENSG00000114686	MitoCarta
ENSG00000100033	MitoCarta
ENSG00000175198	MitoCarta
ENSG00000078070	MitoCarta
ENSG00000128626	MitoCarta
ENSG00000162129	MitoCarta
ENSG00000152256	MitoCarta
ENSG00000149792	MitoCarta
ENSG00000112695	MitoCarta
ENSG00000171202	MitoCarta
ENSG00000121310	MitoCarta
ENSG00000004961	MitoCarta
ENSG00000106049	MitoCarta
ENSG00000115364	MitoCarta
ENSG00000171421	MitoCarta
ENSG00000174032	MitoCarta
ENSG00000161267	MitoCarta
ENSG00000145982	MitoCarta
ENSG00000131269	MitoCarta
ENSG00000173171	MitoCarta
ENSG00000167774	MitoCarta
ENSG00000134375	MitoCarta
ENSG00000143149	MitoCarta
ENSG00000163319	MitoCarta
ENSG00000247626	MitoCarta
ENSG00000119711	MitoCarta
ENSG00000161513	MitoCarta
ENSG00000111786	MitoCarta
ENSG00000126602	MitoCarta
ENSG00000151498	MitoCarta
ENSG00000111275	MitoCarta
ENSG00000108179	MitoCarta
ENSG00000177370	MitoCarta
ENSG00000128928	MitoCarta
ENSG00000087299	MitoCarta
ENSG00000105755	MitoCarta
ENSG00000242485	MitoCarta
ENSG00000005022	MitoCarta
ENSG00000115840	MitoCarta
ENSG00000187145	MitoCarta
ENSG00000100216	MitoCarta
ENSG00000167315	MitoCarta
ENSG00000185414	MitoCarta
ENSG00000103423	MitoCarta
ENSG00000090266	MitoCarta
ENSG00000074071	MitoCarta
ENSG00000105379	MitoCarta
ENSG00000135537	MitoCarta
ENSG00000130770	MitoCarta
ENSG00000116459	MitoCarta
ENSG00000127184	MitoCarta
ENSG00000106554	MitoCarta
ENSG00000115520	MitoCarta
ENSG00000176715	MitoCarta
ENSG00000004142	MitoCarta
ENSG00000183048	MitoCarta
ENSG00000004864	MitoCarta
ENSG00000067992	MitoCarta
ENSG00000151376	MitoCarta
ENSG00000082515	MitoCarta
ENSG00000182054	MitoCarta
ENSG00000105607	MitoCarta
ENSG00000136522	MitoCarta
ENSG00000138777	MitoCarta
ENSG00000143436	MitoCarta
ENSG00000250479	MitoCarta
ENSG00000116874	MitoCarta
ENSG00000125454	MitoCarta
ENSG00000145439	MitoCarta
ENSG00000183172	MitoCarta
ENSG00000063854	MitoCarta
ENSG00000161281	MitoCarta
ENSG00000148824	MitoCarta
ENSG00000178449	MitoCarta
ENSG00000184752	MitoCarta
ENSG00000182180	MitoCarta
ENSG00000120832	MitoCarta
ENSG00000205707	MitoCarta
ENSG00000115159	MitoCarta
ENSG00000130414	MitoCarta
ENSG00000151366	MitoCarta
ENSG00000119705	MitoCarta
ENSG00000198899	MitoCarta
ENSG00000198712	MitoCarta
ENSG00000075336	MitoCarta
ENSG00000119421	MitoCarta
ENSG00000115419	MitoCarta
ENSG00000147123	MitoCarta
ENSG00000181192	MitoCarta
ENSG00000115042	MitoCarta
ENSG00000112474	MitoCarta
ENSG00000137133	MitoCarta
ENSG00000144029	MitoCarta
ENSG00000204564	MitoCarta
ENSG00000176422	MitoCarta
ENSG00000175536	MitoCarta
ENSG00000104325	MitoCarta
ENSG00000125901	MitoCarta
ENSG00000102743	MitoCarta
ENSG00000160194	MitoCarta
ENSG00000137274	MitoCarta
ENSG00000165283	MitoCarta
ENSG00000148450	MitoCarta
ENSG00000103642	MitoCarta
ENSG00000130204	MitoCarta
ENSG00000148339	MitoCarta
ENSG00000173137	MitoCarta
ENSG00000111271	MitoCarta
ENSG00000102763	MitoCarta
ENSG00000137500	MitoCarta
ENSG00000007923	MitoCarta
ENSG00000125652	MitoCarta
