Majority.protein.IDs	Gene.names	iBAQ.L.Cyto_4h_Forward_1	iBAQ.M.Cyto_4h_Forward_1	iBAQ.H.Cyto_4h_Forward_1	iBAQ.L.Cyto_4h_Forward_2	iBAQ.M.Cyto_4h_Forward_2	iBAQ.H.Cyto_4h_Forward_2	iBAQ.L.Cyto_4h_Reverse_1	iBAQ.M.Cyto_4h_Reverse_1	iBAQ.H.Cyto_4h_Reverse_1	iBAQ.L.Cyto_4h_Reverse_2	iBAQ.M.Cyto_4h_Reverse_2	iBAQ.H.Cyto_4h_Reverse_2	iBAQ.L.Memb_4h_Forward_1	iBAQ.M.Memb_4h_Forward_1	iBAQ.H.Memb_4h_Forward_1	iBAQ.L.Memb_4h_Forward_2	iBAQ.M.Memb_4h_Forward_2	iBAQ.H.Memb_4h_Forward_2	iBAQ.L.Memb_4h_Reverse_1	iBAQ.M.Memb_4h_Reverse_1	iBAQ.H.Memb_4h_Reverse_1	iBAQ.L.Memb_4h_Reverse_2	iBAQ.M.Memb_4h_Reverse_2	iBAQ.H.Memb_4h_Reverse_2	Ratio.H.M.normalized.Cyto_4h_Forward_1	Ratio.H.M.normalized.Cyto_4h_Forward_2	Ratio.H.M.normalized.Cyto_4h_Reverse_1	Ratio.H.M.normalized.Cyto_4h_Reverse_2	Ratio.H.M.normalized.Memb_4h_Forward_1	Ratio.H.M.normalized.Memb_4h_Forward_2	Ratio.H.M.normalized.Memb_4h_Reverse_1	Ratio.H.M.normalized.Memb_4h_Reverse_2
H3BR00	CLN3	NA	NA	NA	21.8359563237723	18.1045680419159	18.5618994809966	NA	NA	NA	22.6809312050697	19.4225699035916	19.413342819184	23.9452987971297	21.4641348925917	20.9209255997703	23.0562110187747	20.541134437186	19.7235576282609	24.0777349908153	21.4291553889874	20.2855692881287	23.0519868694806	20.0688097610358	19.4338584307533	NA	NA	NA	NA	-0.438033622571328	NA	-0.826949341690722	-0.184818087085011
A0A3B3IRN3	SLC35B3	NA	NA	NA	19.1466382791654	NA	NA	NA	NA	NA	19.5745750500799	16.2878566418405	NA	22.1731342181993	22.5602955123555	17.7197364035402	NA	NA	NA	21.6287196364085	20.4829615373516	16.5510623404109	20.9034523522631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WWR4	TADA2A	NA	NA	NA	19.3107237129753	NA	NA	NA	NA	NA	21.2868104132551	20.2848918604871	18.1614763719179	19.9536167345043	NA	NA	20.2570701186587	17.5996513764977	19.4500835658266	23.3594428761169	19.7471276038318	24.4950318060073	20.7077567999036	15.6657800283295	15.1943336469456	NA	NA	NA	NA	NA	NA	NA	NA
A0A024R1R8	hCG_2014768	28.0614697516892	23.8757710955747	24.3359267641575	27.9191736709343	23.5585916748782	23.7148156667023	28.0250125443636	24.5080302409717	24.3669971455779	29.488017144961	26.3484927361451	26.0540963488173	25.9744973907504	24.8781122973492	24.4131258500328	25.9131929300205	23.8945802169236	22.2685659859292	26.605548920554	24.3875204112196	24.2924244303291	23.9478865916188	17.53229504052	18.0955824578492	0.672289552518631	0.437547355287785	0.0732718364245194	-0.434987819101775	0.146524891477442	-0.00903062199010544	0.101918959711072	NA
A0A024R216	HDGFRP3	19.2810923761247	19.0652373014418	20.5895743462373	22.7924916503234	20.4696100226578	18.7456349371337	19.2976641314915	18.7400442360948	20.6724529668418	23.946548656773	21.9699696313941	21.0584093046019	25.1767979996175	21.4894932469901	25.0410127123466	22.457462042815	20.2366635799909	18.2303207156611	24.8760053867944	22.2022769030434	24.4756211315868	24.0992476311855	22.5359246073394	22.9607563918699	NA	NA	NA	NA	NA	NA	NA	NA
A0A024R442	DNPEP	25.222214138019	25.1508145478434	24.2283196251884	24.7638003619346	22.0101784040205	23.6159384983372	25.1767219241566	24.8541945947874	23.7051429920955	25.3968574275999	25.1312801706344	24.4318607460583	21.9335148941555	22.2977089050947	21.8936363051639	NA	NA	NA	23.5855457479605	24.8773635260642	22.907198755605	NA	NA	NA	0.0130691500195213	NA	NA	0.388134418814145	NA	NA	-0.607616626955365	NA
A0A024R4E5	HDLBP	23.3595769244367	22.8896317003408	22.4590393197828	25.0820470107836	23.5514510543945	23.2668517228806	23.4811145328222	21.6049893102845	21.9380102271486	26.0082345457977	23.23704303303	24.3993045266242	27.0432259155873	25.061675747983	23.8943951848545	27.397787814256	25.3067122881095	24.387586145132	26.8738484710299	24.2744788247811	24.7118786683676	26.6452643841675	23.2920733156639	24.4427203044088	-0.236078579238591	-2.0263226062993	0.825785627464791	1.29947912798038	-0.980255392377839	-0.983304012946764	4.68122435377956	0.883073348451263
A0A087WZA9	TMEM120A	NA	NA	NA	19.1139557713139	15.7287708495427	13.8570090251111	NA	NA	NA	20.3743263269589	18.4049918396034	14.9320763086217	NA	NA	NA	19.1946991516215	15.5183458003726	15.4536886154386	NA	NA	NA	18.0256154208549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A024R4M0	RPS9	30.214077875565	27.1249460798885	27.0023872068575	29.8993712145206	26.8156780206834	26.5953401268066	29.9102790284305	26.9191168282779	26.6574460284444	30.2863689136748	26.8198247503444	26.8303815465603	30.1980037616289	26.4703395070488	26.4151908996477	30.2475106034713	26.5568536726346	26.466983931125	30.3555248435789	26.7215585879923	26.89017928138	30.2657301001063	26.1559176065269	26.4661905021167	0.0787464470766483	-0.130112805180464	-0.151938975090297	0.0916659875218129	0.0047530553998195	-0.140777826233386	0.0776531856501614	-0.0132177437192849
A0A024R571	EHD1	23.4557576477735	23.3519162219771	22.0497953831171	23.7565400347804	21.5832976656814	22.5099759830778	23.399108911378	23.7725352738116	22.1497297564193	24.5302315260865	23.2090029052861	22.1410843204168	24.7806170576705	23.2905273951565	22.9971581131971	23.9483322943135	21.8684985509048	25.013291659969	24.8259498210432	22.982836250255	25.1631545785219	23.7530747112217	22.0724126519699	24.1600024898375	NA	0.334568275666133	NA	NA	NA	0.14522093708563	-0.409508159872053	0.11009592910342
A0A0A0MRU5	CLN5	NA	NA	NA	22.1898462709373	19.8609808572254	18.1283770227507	20.7607686687827	NA	NA	22.6560660513437	19.1626322692364	21.6282301422427	22.4910114353023	19.342213595732	19.7629432112236	22.8935807617057	21.6983757206271	20.4876791219056	22.355146740306	17.9473515665651	18.1382617992014	22.3880593409076	22.1161345176482	19.4549097134167	NA	-0.912021275358098	NA	0.841087511295934	NA	NA	NA	-0.835831600466007
K7EN05	ELOF1	26.3830434641331	24.4087925552349	23.5449823501851	27.2053641685384	24.178888504304	22.4341537717716	26.630620413341	24.0171631843496	23.4034063317465	28.9263179857682	26.0770014792118	25.7958785451481	27.4584198808975	24.5670908107839	23.8244452693849	27.8595242652269	25.4631683671621	24.0971589805026	28.0752068792462	26.6973684926093	24.763901646338	25.3407897666487	24.2846095050618	21.4868939283134	NA	NA	NA	-0.949198824227638	NA	NA	-1.36877462482741	NA
A0A024RA52	PSMA2	29.6027203831498	26.6475991760232	26.5318085835952	29.2276358823626	25.8592517310818	25.3451288043243	29.0484842963615	26.1816964122161	26.3761362553295	29.1568242158228	25.7397219051674	25.3961061515102	27.9191168282779	24.8789074412587	24.2448869894597	26.6131583865454	24.0099222209353	23.1978303982326	28.1683481674579	25.0591193126479	24.5072439487174	26.5780192758073	23.3402804303536	22.9860697855067	-0.433623199678875	-0.0244578527160236	0.00259451670845232	-0.689171307353303	-0.351810697281862	NA	-0.209161249458934	-1.09668401853507
