Animal	ID	Cage	Tag	Date	Left flank	Right flank	Amount of cells	Length	Width	Height	Volume	tumor_weight_mg	status	time
1	M08507	1	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	4,4	4,0	0,8	7,3216	NA	WT	7
2	M08511	1	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	4,3	3,9	0,6	5,23224	NA	WT	7
3	M08512	1	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	3,6	3,5	0,7	4,5864	NA	WT	7
4	M08513	1	RRL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	4,4	3,3	0,8	6,04032	NA	WT	7
5	M08514	2	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	4,2	4,0	1,0	8,736	NA	WT	7
6	M08515	2	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	3,5	3,0	0,5	2,73	NA	WT	7
7	M08516	2	L	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	4,0	3,6	0,9	6,7392	NA	WT	7
8	M08508	2	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	3,5	3,4	0,5	3,094	NA	WT	7
1	M08507	1	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	NA	KO	7
2	M08511	1	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	2,8	2,3	0,4	1,33952	NA	KO	7
3	M08512	1	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	2,4	2,1	0,4	1,04832	NA	KO	7
4	M08513	1	RRL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	3,1	2,6	0,4	1,67648	NA	KO	7
5	M08514	2	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	3,2	2,8	0,5	2,3296	NA	KO	7
6	M08515	2	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	NA	KO	7
7	M08516	2	L	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	NA	KO	7
8	M08508	2	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	3,2	3	0,4	1,9968	NA	KO	7
1	M08507	1	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	4,7	4,2	1,2	12,31776	NA	WT	14
2	M08511	1	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	7,9	6	0,9	22,1832	NA	WT	14
3	M08512	1	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	4,6	4	0,9	8,6112	NA	WT	14
4	M08513	1	RRL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	5,9	5,4	1,4	23,19408	NA	WT	14
5	M08514	2	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	5,7	5,4	2,2	35,21232	NA	WT	14
6	M08515	2	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	5,6	4,2	1,1	13,45344	NA	WT	14
7	M08516	2	L	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	5,6	4,4	1,3	16,65664	NA	WT	14
8	M08508	2	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	5	3,9	0,7	7,098	NA	WT	14
1	M08507	1	/	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	NA	NA	NA	NA	NA	KO	14
2	M08511	1	R	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	3	2,7	0,5	2,106	NA	KO	14
3	M08512	1	RL	13.12.2019	A549 WT	A549 sgHDLBP	1,0E+06	3,8	3,2	0,5	3,1616	NA	KO	14
