gene	up1	up2	up3
ABCB7	enr1	enr2	enr3
ABCD3	enr1	NA	NA
ABCF1	enr1	enr2	NA
ABCF3	enr1	enr2	NA
ABR	enr1	enr2	NA
ACLY	enr1	enr2	NA
ACOT1	enr1	enr2	enr3
ACTBL2	NA	enr2	NA
ACTN4	enr1	enr2	NA
ADAR	enr1	enr2	NA
ADCK3	NA	NA	enr3
ADD1	enr1	enr2	NA
ADD3	enr1	enr2	NA
ADNP	enr1	NA	NA
AGFG1	enr1	enr2	NA
AGO2	enr1	NA	NA
AGTPBP1	enr1	enr2	enr3
AHNAK	enr1	enr2	enr3
AHSA1	enr1	enr2	NA
AIFM1	enr1	enr2	NA
AIMP2	enr1	NA	NA
AKT2	enr1	NA	NA
ALDH1A2	enr1	enr2	enr3
ALDH3A2	enr1	enr2	NA
ALG1	enr1	NA	NA
ALG13	enr1	enr2	NA
ALMS1	enr1	NA	NA
ANAPC1	enr1	NA	NA
ANK2	enr1	enr2	NA
ANKFY1	enr1	enr2	NA
ANKHD1	enr1	enr2	enr3
ANKRD17	enr1	enr2	enr3
ANKRD28	enr1	enr2	enr3
ANKRD52	enr1	enr2	enr3
ANKS1A	enr1	enr2	enr3
ANXA2	NA	NA	enr3
AP2A1	enr1	NA	NA
AP2B1	enr1	enr2	NA
AP3B1	enr1	enr2	enr3
AP3D1	enr1	enr2	NA
AP3S1	NA	NA	enr3
APBB1	enr1	enr2	NA
ARF4	enr1	enr2	enr3
ARFGAP1	enr1	enr2	enr3
ARHGAP35	enr1	enr2	NA
ARL1	enr1	enr2	enr3
ARPIN	enr1	enr2	enr3
ASCC1	enr1	enr2	NA
ASCC3	enr1	enr2	enr3
ASNS	NA	NA	enr3
ASS1	enr1	enr2	NA
ATG2B	enr1	enr2	enr3
ATP1A1	enr1	enr2	enr3
ATP1B3	enr1	NA	NA
ATP2A2	enr1	NA	enr3
ATP2B1	enr1	enr2	NA
ATP5C1	enr1	NA	NA
ATP5J2	NA	NA	enr3
ATP6V1H	enr1	enr2	enr3
ATXN10	enr1	enr2	NA
ATXN2	enr1	enr2	enr3
ATXN2L	enr1	enr2	enr3
BAG3	NA	enr2	NA
BAZ1B	enr1	enr2	NA
BCLAF1	enr1	enr2	NA
BCR	enr1	NA	NA
BRAP	enr1	enr2	enr3
BUB1B	enr1	enr2	NA
BZW1	NA	enr2	NA
C11orf49	enr1	enr2	enr3
C1orf198	enr1	enr2	enr3
C1QBP	enr1	NA	NA
CACYBP	enr1	enr2	NA
CALD1	enr1	enr2	enr3
CAMSAP1	enr1	enr2	NA
CAND1	NA	NA	enr3
CAP1	enr1	enr2	NA
CAPN1	enr1	NA	NA
CAPRIN1	enr1	enr2	enr3
CAPZA1	enr1	enr2	enr3
CAPZA2	NA	NA	enr3
CAPZA3	NA	NA	enr3
CAPZB	enr1	enr2	enr3
CASC5	NA	enr2	NA
CC2D1A	enr1	enr2	NA
CCDC124	enr1	enr2	enr3
CCDC25	enr1	enr2	enr3
CCDC43	enr1	enr2	enr3
CCDC50	NA	enr2	NA
CCDC85C	enr1	enr2	NA
CCDC88A	NA	enr2	NA
CCNB2	NA	enr2	NA
CCT2	enr1	enr2	enr3
CCT7	enr1	enr2	enr3
CCT8	enr1	enr2	enr3
CD2AP	enr1	enr2	enr3
CDC123	NA	enr2	enr3
CDC16	enr1	NA	NA
CDC23	enr1	NA	NA
CDC42BPA	NA	enr2	NA
CDC45	enr1	NA	NA
CDIPT	enr1	enr2	NA
CDK2	NA	NA	enr3
CDV3	enr1	enr2	enr3
CEP170	enr1	enr2	enr3
CEP192	enr1	NA	NA
CEP55	enr1	enr2	NA
CHAMP1	enr1	NA	NA
CHD4	enr1	NA	NA
CHMP2B	enr1	enr2	enr3
CHUK	enr1	enr2	NA
CIAPIN1	enr1	enr2	enr3
CKAP2	NA	enr2	NA
CKAP5	enr1	enr2	enr3
CLINT1	enr1	enr2	enr3
CLMN	enr1	enr2	NA
CLN6	enr1	NA	NA
CLTC	NA	NA	enr3
CLUH	enr1	enr2	NA
CNN3	enr1	enr2	enr3
CNOT1	enr1	enr2	enr3
CNOT10	enr1	enr2	NA
CNOT11	enr1	enr2	NA
CNOT3	enr1	enr2	NA
COG7	enr1	NA	NA
COIL	enr1	enr2	enr3
COMMD8	enr1	enr2	enr3
COPB1	NA	NA	enr3
COPG1	NA	NA	enr3
COPG2	enr1	enr2	enr3
COQ6	NA	NA	enr3
CORO1B	enr1	enr2	enr3
CORO1C	enr1	enr2	enr3
CPSF3	enr1	enr2	enr3
CPVL	enr1	enr2	enr3
CRK	enr1	enr2	enr3
CRKL	enr1	enr2	enr3
CSDE1	enr1	enr2	enr3
CSE1L	NA	NA	enr3
CSNK2B	enr1	NA	NA
CSTF2T	enr1	NA	NA
CTBP2	enr1	NA	NA
CTPS1	enr1	enr2	enr3
CTTN	enr1	enr2	enr3
CUL4A	enr1	enr2	enr3
CXorf56	NA	enr2	enr3
CYFIP1	enr1	NA	enr3
CYLD	enr1	enr2	NA
DARS2	enr1	NA	NA
DBN1	enr1	NA	NA
DBNL	enr1	enr2	enr3
DCP1A	NA	enr2	NA
DCP1B	enr1	NA	NA
DCTN1	NA	NA	enr3
DDX1	enr1	enr2	enr3
DDX18	enr1	NA	enr3
DDX19A	NA	NA	enr3
DDX20	NA	NA	enr3
DDX21	NA	NA	enr3
DDX46	NA	NA	enr3
DDX5	NA	NA	enr3
DDX6	NA	NA	enr3
DENND4C	enr1	enr2	NA
DEPDC1B	enr1	enr2	NA
DHX29	enr1	enr2	enr3
DHX30	NA	NA	enr3
DHX57	enr1	enr2	NA
DIABLO	enr1	NA	NA
DICER1	enr1	enr2	NA
DIMT1	enr1	NA	NA
DIS3	NA	NA	enr3
DLD	NA	NA	enr3
DLGAP5	enr1	enr2	enr3
DNAJA2	NA	enr2	NA
DNAJB1	enr1	enr2	enr3
DNAJC11	enr1	NA	NA
DNM1L	enr1	NA	NA
DOCK7	enr1	NA	NA
DPM1	enr1	NA	enr3
DPYSL2	enr1	enr2	enr3
DPYSL3	enr1	enr2	enr3
DPYSL4	enr1	enr2	enr3
DPYSL5	enr1	enr2	enr3
DRG1	enr1	enr2	enr3
DSG2	enr1	enr2	NA
DSP	NA	NA	enr3
DST	enr1	enr2	NA
DVL1	enr1	enr2	enr3
DVL2	enr1	enr2	enr3
DVL3	enr1	enr2	enr3
DYNC1H1	NA	NA	enr3
EBP	enr1	NA	NA
ECD	enr1	enr2	enr3
EDC4	enr1	enr2	enr3
EEF1A1	NA	NA	enr3
EEF1B2	enr1	enr2	enr3
EEF1D	enr1	enr2	enr3
EEF2	NA	enr2	enr3
EEF2K	enr1	enr2	NA
EFHD1	enr1	enr2	enr3
EFHD2	enr1	enr2	enr3
EFTUD2	NA	NA	enr3
EIF2A	enr1	enr2	enr3
EIF2S1	enr1	enr2	NA
EIF3A	enr1	enr2	enr3
EIF3B	enr1	enr2	enr3
EIF3C	NA	NA	enr3
EIF3D	enr1	enr2	NA
EIF3G	enr1	enr2	NA
EIF3I	enr1	enr2	enr3
EIF4A1	NA	NA	enr3
EIF4A3	NA	NA	enr3
EIF4B	enr1	enr2	enr3
EIF4E	enr1	enr2	enr3
EIF4E2	enr1	enr2	enr3
EIF4ENIF1	enr1	enr2	NA
EIF4G1	enr1	enr2	enr3
EIF4G2	enr1	enr2	enr3
EIF4G3	enr1	enr2	NA
EIF5	enr1	enr2	enr3
EIF5A	enr1	enr2	enr3
EIF5B	enr1	enr2	NA
ELP4	enr1	enr2	NA
ELP5	enr1	enr2	NA
ELP6	enr1	enr2	NA
EMD	NA	enr2	enr3
ENAH	enr1	enr2	NA
EPB41	enr1	enr2	enr3
EPB41L2	enr1	enr2	NA
EPB41L3	enr1	enr2	enr3
EPRS	NA	NA	enr3
EPS15	enr1	enr2	NA
EPS15L1	enr1	enr2	enr3
ERBB2IP	enr1	enr2	enr3
ERC1	enr1	enr2	NA
ERCC6L	enr1	enr2	NA
ERLIN2	NA	NA	enr3
ESYT1	enr1	enr2	enr3
ESYT2	enr1	enr2	NA
EXOC4	enr1	enr2	enr3
EZR	enr1	enr2	NA
FAM135A	NA	enr2	NA
FAM195B	enr1	enr2	NA
FAM21B	enr1	enr2	NA
FAM91A1	enr1	enr2	NA
FANCI	enr1	enr2	NA
FAR1	enr1	enr2	NA
FASN	enr1	enr2	enr3
FASTKD5	enr1	NA	NA
FAU	enr1	enr2	NA
FERMT2	enr1	enr2	NA
FHL3	enr1	NA	NA
FKRP	enr1	enr2	enr3
FLNA	enr1	enr2	enr3
FLNB	enr1	enr2	enr3
FMR1	enr1	enr2	enr3
FUBP3	enr1	enr2	enr3
FXR1	enr1	enr2	enr3
FXR2	enr1	enr2	NA
G3BP1	enr1	enr2	enr3
G3BP2	enr1	enr2	NA
GAPVD1	enr1	enr2	enr3
GCN1L1	enr1	enr2	enr3
GEMIN5	enr1	enr2	enr3
GFPT1	NA	enr2	NA
GIGYF2	enr1	enr2	enr3
GLMN	enr1	enr2	NA
GLUD1	enr1	NA	NA
GNAS	enr1	enr2	NA
GPATCH1	enr1	enr2	enr3
GPN1	NA	enr2	NA
GRWD1	NA	NA	enr3
