gene_name	gene_id	annotation	tc_CDS	uniq_reads_CDS	cluster_count_CDS	tc_UTR3	uniq_reads_UTR3	cluster_count_UTR3	tc_UTR5	uniq_reads_UTR5	cluster_count_UTR5	tc_transcript	uniq_transcript	cluster_count_transcript
ATP1A1	ENSG00000163399.11	protein_coding	9332	13578.5	17	10	14	1	NA	NA	NA	9508.5	13861.5	19
DDOST	ENSG00000244038.5	protein_coding	5175	8708	6	NA	NA	NA	NA	NA	NA	5852	9820.5	8
ATP2A2	ENSG00000174437.12	protein_coding	3444	4907.5	10	NA	NA	NA	2	5	1	3759.5	5334.5	12
SLC1A5	ENSG00000105281.8	protein_coding	2870	4195	4	22.5	36.5	2	NA	NA	NA	3660.5	5398	9
LBR	ENSG00000143815.10	protein_coding	2215.5	3051.5	6	9	11	1	19	25	1	3535	4682.5	10
HSP90B1	ENSG00000166598.8	protein_coding	2819.5	3800.5	11	NA	NA	NA	NA	NA	NA	3330	4543.5	12
TM9SF3	ENSG00000077147.10	protein_coding	3091.5	4223	10	28	32	3	NA	NA	NA	3186	4350.5	14
PLD3	ENSG00000105223.14	protein_coding	2663.5	4819	8	15.5	21.5	1	21	47	1	3029.5	5353.5	11
LGALS3BP	ENSG00000108679.8	protein_coding	135.5	198	2	NA	NA	NA	9	10.5	1	2914.5	4576.5	4
CANX	ENSG00000127022.10	protein_coding	1971.5	2665.5	7	101.5	127	3	17.5	25.5	1	2769	3740	13
PSAP	ENSG00000197746.9	protein_coding	2447.5	3817.5	9	73.5	98.5	4	NA	NA	NA	2692	4155	14
TMBIM6	ENSG00000139644.8	protein_coding	848.5	1094	3	165	208	4	NA	NA	NA	2649.5	3836	9
SLC16A1	ENSG00000155380.7	protein_coding	1903.5	2595	3	NA	NA	NA	NA	NA	NA	2641.5	3537.5	4
RPN1	ENSG00000163902.7	protein_coding	1271.5	1823.5	4	47.5	49.5	1	NA	NA	NA	2535	3615.5	7
APP	ENSG00000142192.16	protein_coding	2147	2982	11	14	18	1	NA	NA	NA	2464	3394.5	14
RP11-315D16.2	ENSG00000260007.1	protein_coding	51.5	72	1	NA	NA	NA	NA	NA	NA	2405.5	3559.5	4
ATP5B	ENSG00000110955.4	protein_coding	681.5	887	6	6.5	9.5	1	NA	NA	NA	2373.5	2775.5	9
CALR	ENSG00000179218.9	protein_coding	1756	2605.5	6	59	95.5	1	469	689.5	1	2284	3390.5	8
TUBA1B	ENSG00000123416.11	protein_coding	1831.5	2942	1	NA	NA	NA	NA	NA	NA	2075	3257.5	2
ATP6AP1	ENSG00000071553.12	protein_coding	1574	2510	8	5.5	9.5	1	NA	NA	NA	2047	3193	10
CLPTM1	ENSG00000104853.11	protein_coding	2030.5	3060	7	NA	NA	NA	4	6.5	1	2034.5	3066.5	8
SERINC1	ENSG00000111897.6	protein_coding	1622.5	2586.5	6	NA	NA	NA	NA	NA	NA	2013.5	3076.5	7
EEF2	ENSG00000167658.11	protein_coding	1243.5	1870	7	NA	NA	NA	NA	NA	NA	1997	2881	9
GANAB	ENSG00000089597.12	protein_coding	1850	2698	13	NA	NA	NA	17.5	24.5	1	1918	2792	15
YWHAE	ENSG00000108953.12	protein_coding	601.5	838.5	4	NA	NA	NA	NA	NA	NA	1840.5	2326	5
STT3A	ENSG00000134910.8	protein_coding	1823	2592.5	9	NA	NA	NA	NA	NA	NA	1823	2592.5	9
SCD	ENSG00000099194.5	protein_coding	444	670	3	459.5	619.5	4	NA	NA	NA	1816	2647.5	8
SLC38A2	ENSG00000134294.9	protein_coding	1676.5	2795	7	17.5	20	2	NA	NA	NA	1765	2921	10
