gene_id	Symbol	trans.norm.tc.mean.exp	utr3_vs_cds.norm.mean	localization_cat	tc_transcript_norm	tc_transcript_norm_cat
ENSG00000000003.10	TSPAN6	7.30225960493144	0.321470732379554	membrane	2.82562197455814	tc>1.12 & tc<132.32
ENSG00000001036.9	FUCA2	8.31162995972157	0.0218384120998178	membrane	2.49759846301633	tc>1.12 & tc<132.32
ENSG00000001084.6	GCLC	0.205328080806977	NA	cytosolic	0.189080595603876	tc<0.3
ENSG00000001461.12	NIPAL3	3.29707518987857	0.0434954316722989	membrane	3.9312567132116	tc>1.12 & tc<132.32
ENSG00000003056.3	M6PR	0.699862466452275	0.312319417868814	membrane	1.33636622121126	tc>1.12 & tc<132.32
ENSG00000003989.12	SLC7A2	7.18572532196885	0.0385280708098103	membrane	8.57636224098235	tc>1.12 & tc<132.32
ENSG00000004399.8	PLXND1	0.652601794036989	NA	membrane	0.499706055261611	tc>0.3 & tc<1.12
ENSG00000004455.12	AK2	0.0841723776663426	0.354216878633063	cytosolic	0.169557213448309	tc<0.3
ENSG00000004478.5	FKBP4	0.608139578212254	7.54128822589393	cytosolic	0.140812356647214	tc<0.3
ENSG00000004487.11	KDM1A	0.64669765224252	NA	cytosolic	0.114035921315214	tc<0.3
ENSG00000004700.11	RECQL	0.539788792441973	NA	cytosolic	0.364697301239971	tc>0.3 & tc<1.12
ENSG00000004779.5	NDUFAB1	0.331352914615534	2.0188700170817	cytosolic	0.181806623863709	tc<0.3
ENSG00000004864.9	SLC25A13	0.317754587564597	1.72319325495969	cytosolic	0.18605982539001	tc<0.3
ENSG00000005022.5	SLC25A5	0.40575676605481	0.774300690710202	cytosolic	0.157299008681567	tc<0.3
ENSG00000005156.7	LIG3	0.142230371626444	NA	cytosolic	0.180091683038638	tc<0.3
ENSG00000005249.8	PRKAR2B	0.312334791316043	NA	cytosolic	0.0882482718046772	tc<0.3
ENSG00000005893.11	LAMP2	30.0925523984222	0.152497069373069	membrane	18.693821822733	tc>1.12 & tc<132.32
ENSG00000006042.7	TMEM98	0.604185419382298	NA	membrane	0.521603060071286	tc>0.3 & tc<1.12
ENSG00000006118.10	TMEM132A	9.87308192849817	NA	membrane	11.5420706912731	tc>1.12 & tc<132.32
