distance	id	tc	localization_cat	tc_region	hval_cat
-40	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-39	cytosolic;utr3;hval_hi	0.0179069351001509	cytosolic	utr3	hval_hi
-38	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-37	cytosolic;utr3;hval_hi	0.035813870200302	cytosolic	utr3	hval_hi
-36	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-35	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-34	cytosolic;utr3;hval_hi	0.0255813358573585	cytosolic	utr3	hval_hi
-33	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-32	cytosolic;utr3;hval_hi	0.00767440075720755	cytosolic	utr3	hval_hi
-31	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-30	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-29	cytosolic;utr3;hval_hi	0.0127906679286792	cytosolic	utr3	hval_hi
-28	cytosolic;utr3;hval_hi	0.0460464045432451	cytosolic	utr3	hval_hi
-27	cytosolic;utr3;hval_hi	0.0306976030288302	cytosolic	utr3	hval_hi
-26	cytosolic;utr3;hval_hi	0.0562789388861887	cytosolic	utr3	hval_hi
-25	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-24	cytosolic;utr3;hval_hi	0.0281394694430943	cytosolic	utr3	hval_hi
-23	cytosolic;utr3;hval_hi	0.035813870200302	cytosolic	utr3	hval_hi
-22	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-21	cytosolic;utr3;hval_hi	0.0793021411578114	cytosolic	utr3	hval_hi
-20	cytosolic;utr3;hval_hi	0.0102325343429434	cytosolic	utr3	hval_hi
-19	cytosolic;utr3;hval_hi	0.0588370724719245	cytosolic	utr3	hval_hi
-18	cytosolic;utr3;hval_hi	0.0306976030288302	cytosolic	utr3	hval_hi
-17	cytosolic;utr3;hval_hi	0.0153488015144151	cytosolic	utr3	hval_hi
-16	cytosolic;utr3;hval_hi	0.0818602747435471	cytosolic	utr3	hval_hi
-15	cytosolic;utr3;hval_hi	0.0127906679286792	cytosolic	utr3	hval_hi
-14	cytosolic;utr3;hval_hi	0.0204650686858868	cytosolic	utr3	hval_hi
-13	cytosolic;utr3;hval_hi	0.0255813358573585	cytosolic	utr3	hval_hi
-12	cytosolic;utr3;hval_hi	0.611393926990867	cytosolic	utr3	hval_hi
-11	cytosolic;utr3;hval_hi	0.0972090762579623	cytosolic	utr3	hval_hi
-10	cytosolic;utr3;hval_hi	0.120232278529585	cytosolic	utr3	hval_hi
-9	cytosolic;utr3;hval_hi	0.0537208053004528	cytosolic	utr3	hval_hi
-8	cytosolic;utr3;hval_hi	0.10488347701517	cytosolic	utr3	hval_hi
-7	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-6	cytosolic;utr3;hval_hi	0.051162671714717	cytosolic	utr3	hval_hi
-5	cytosolic;utr3;hval_hi	0.19697628610166	cytosolic	utr3	hval_hi
-4	cytosolic;utr3;hval_hi	0.353022434831547	cytosolic	utr3	hval_hi
