gene	mean_lfq	imp_enr	imp_enr_cat
HDLBP	1.16495e+12	12.276188611936	NA
FASN	1.12246e+11	18.9624228256324	NA
FLNA	59156333333.3333	11.5642686332058	NA
HSPA1A	48143333333.3333	3.77419603464894	NA
HSPA8	4.6291e+10	4.0666376301242	NA
CCT8	2.2391e+10	30.1041754080309	NA
MRE11A	2.2056e+10	3.3187816993313	NA
SERBP1	2.101e+10	82.6496268960877	NA
MKL2	19380633333.3333	25.5663085205245	NA
CSDE1	17543966666.6667	99.2048672313114	NA
CORO1B	1.6332e+10	339.753475566732	NA
CTTN	13360700000	38.417606586336	NA
LARP1	11591066666.6667	30.4146638840384	NA
STRAP	9789300000	29.336448856781	NA
HSPA5	8987533333.33333	8.05480436412962	NA
COPG2	8500766666.66667	52.3328140174853	NA
UBAP2L	8252366666.66667	40.9032187730496	NA
ATXN2L	7371133333.33333	26.1327680399557	NA
GIGYF2	7.219e+09	44.3421263685697	NA
EIF4G1	6586500000	341.753475566732	imputed
NUFIP2	6327500000	29.6421129250257	NA
CD2AP	6125066666.66667	341.753475566732	imputed
EIF4B	5865800000	341.753475566732	imputed
AHNAK	5593133333.33333	341.753475566732	imputed
EIF5	4202533333.33333	130.333346706814	NA
RPS3A	4059466666.66667	341.753475566732	imputed
RUVBL2	3989666666.66667	20.1967237453614	NA
C11orf49	3533033333.33333	341.753475566732	imputed
G3BP1	3375666666.66667	30.0901973210793	NA
RUVBL1	3358100000	341.753475566732	imputed
RANGAP1	3149033333.33333	341.753475566732	imputed
GCN1L1	2989900000	6.36775118932878	NA
ATG2B	2841733333.33333	341.753475566732	imputed
GEMIN5	2743866666.66667	92.7601714989546	NA
DVL3	2464133333.33333	341.753475566732	imputed
YTHDC2	2459846666.66667	19.3649693148091	NA
VDAC2	2363400000	3.55507187598002	NA
SRP68	2349373333.33333	341.753475566732	imputed
RANBP2	2329400000	14.5326585140197	NA
KEAP1	2325430000	341.753475566732	imputed
CTPS1	2275833333.33333	5.03534209960155	NA
EIF4E2	2250006666.66667	44.3672863047625	NA
TIPRL	2087866666.66667	341.753475566732	imputed
XRN1	1992100000	341.753475566732	imputed
CRKL	1967733333.33333	4.27618596657586	NA
EPB41L3	1962350000	68.0353047768135	NA
DVL2	1961913333.33333	6.46734526479011	NA
C1orf198	1954400000	341.753475566732	imputed
ZC3HAV1	1878013333.33333	341.753475566732	imputed
PGAM5	1847210000	19.9228854895059	NA
ZBTB33	1816266666.66667	341.753475566732	imputed
CKAP5	1778910000	341.753475566732	imputed
TAGLN2	1778200000	341.753475566732	imputed
PDLIM5	1772966666.66667	341.753475566732	imputed
PRRC2C	1754740000	341.753475566732	imputed
PPP6R3	1711700000	341.753475566732	imputed
FLNB	1697973333.33333	341.753475566732	imputed
EXOC4	1681703333.33333	341.753475566732	imputed
VDAC1	1673866666.66667	4.30924414988132	NA
ANKHD1	1657936666.66667	341.753475566732	imputed
