gene_id	Symbol	tpm_cutoff	localization_cat	loc_tar_CDS	log2FoldChange.ribo.rna.KO.WT
ENSG00000000003.10	TSPAN6	44.415	membrane	membrane_tc>1.66 & tc<5.56	-0.107481134694421
ENSG00000001036.9	FUCA2	57.255	membrane	membrane_tc>1.66 & tc<5.56	-0.211762446338588
ENSG00000001461.12	NIPAL3	23.275	membrane	membrane_tc>1.66 & tc<5.56	0.0255339835314388
ENSG00000001630.11	CYP51A1	30.945	membrane	nontarget_membrane	-0.137569547744666
ENSG00000002586.13	CD99	71.66	membrane	nontarget_membrane	0.119839545457082
ENSG00000003056.3	M6PR	70.34	membrane	membrane_tc<1.66	-0.00622271431859139
ENSG00000003989.12	SLC7A2	26.06	membrane	membrane_tc>5.56 & tc<65.26	-0.0907476376457735
ENSG00000004399.8	PLXND1	17.01	membrane	membrane_tc<1.66	-0.177260344561625
ENSG00000004866.14	ST7	28.33	membrane	membrane_tc<1.66	0.0203354331686012
ENSG00000005206.12	SPPL2B	21.42	membrane	nontarget_membrane	-0.144518983761501
ENSG00000005486.12	RHBDD2	28.68	membrane	nontarget_membrane	0.377138225964818
ENSG00000005893.11	LAMP2	43.945	membrane	membrane_tc>5.56 & tc<65.26	-0.0663199764939847
ENSG00000006042.7	TMEM98	57.515	membrane	membrane_tc<1.66	0.0995892424566512
ENSG00000006118.10	TMEM132A	15.985	membrane	membrane_tc>5.56 & tc<65.26	0.160307104302335
ENSG00000006327.9	TNFRSF12A	10.82	membrane	nontarget_membrane	-0.0840870561586346
ENSG00000006576.12	PHTF2	12.26	membrane	nontarget_membrane	-0.17192690163443
ENSG00000006831.9	ADIPOR2	59.21	membrane	membrane_tc<1.66	0.278396315561329
ENSG00000007341.14	ST7L	27.23	membrane	nontarget_membrane	0.0211430161323479
ENSG00000007541.10	PIGQ	24.7	membrane	membrane_tc>1.66 & tc<5.56	0.0852194485589869
ENSG00000008282.3	SYPL1	75.5	membrane	membrane_tc>1.66 & tc<5.56	-0.0615081174147278
ENSG00000008394.8	MGST1	107.01	membrane	membrane_tc<1.66	0.0635265530534522
ENSG00000008952.12	SEC62	18.335	membrane	membrane_tc<1.66	-0.0713338464723142
ENSG00000010278.7	CD9	102.54	membrane	membrane_tc>1.66 & tc<5.56	-0.0571931023023117
ENSG00000011105.7	TSPAN9	10.05	membrane	membrane_tc>1.66 & tc<5.56	0.237514237513474
ENSG00000011201.6	KAL1	11.395	membrane	membrane_tc>5.56 & tc<65.26	0.00358035405607123
ENSG00000011478.7	QPCTL	10.905	membrane	membrane_tc>5.56 & tc<65.26	0.154650452557018
ENSG00000012174.7	MBTPS2	23.815	membrane	membrane_tc>5.56 & tc<65.26	-0.12475407629405
ENSG00000012232.4	EXTL3	22.665	membrane	membrane_tc<1.66	0.0773228362526471
ENSG00000012660.9	ELOVL5	94.685	membrane	membrane_tc>5.56 & tc<65.26	-0.0851976680069016
ENSG00000013523.5	ANGEL1	21.775	membrane	nontarget_membrane	-0.142325882262874
ENSG00000016864.12	GLT8D1	32.88	membrane	membrane_tc<1.66	-0.211526052628565
ENSG00000017260.15	ATP2C1	24.09	membrane	membrane_tc>5.56 & tc<65.26	-0.14428848329072
ENSG00000025423.7	HSD17B6	12.585	membrane	nontarget_membrane	0.208197650038834
ENSG00000025796.9	SEC63	22.4	membrane	membrane_tc>5.56 & tc<65.26	-0.1739375667801
ENSG00000026297.11	RNASET2	22.895	membrane	nontarget_membrane	0.22439736895302
