gene_id	Symbol	gene_biotype	tc_CDS_norm_cat	target_loc	mean_memb_4h
ENSG00000094914.8	AAAS	protein_coding	tc>0.27 & tc<1.04	cyto_target	-0.0897668374405797
ENSG00000124608.4	AARS2	protein_coding	nontarget	nontarget	0.117962087806617
ENSG00000008311.10	AASS	protein_coding	nontarget	nontarget	0.196173540204016
ENSG00000131269.11	ABCB7	protein_coding	nontarget	nontarget	0.0467452201587154
ENSG00000125257.9	ABCC4	protein_coding	tc>1.04 & tc<65.26	mem_target	0.095670563189021
ENSG00000117528.7	ABCD3	protein_coding	nontarget	nontarget	0.00746839172523524
ENSG00000164163.6	ABCE1	protein_coding	nontarget	cyto_target	0.0267198451998103
ENSG00000204574.8	ABCF1	protein_coding	nontarget	nontarget	0.245045180648404
ENSG00000033050.3	ABCF2	protein_coding	tc>0.27 & tc<1.04	cyto_target	-0.0570703582286738
ENSG00000144827.4	ABHD10	protein_coding	nontarget	cyto_target	0.21703682898315
ENSG00000100997.14	ABHD12	protein_coding	tc>1.04 & tc<65.26	mem_target	-0.119117696165709
ENSG00000060971.13	ACAA1	protein_coding	nontarget	nontarget	0.0875492186702765
ENSG00000167315.13	ACAA2	protein_coding	nontarget	cyto_target	0.248202632103674
ENSG00000177646.13	ACAD9	protein_coding	nontarget	nontarget	0.00832550030550646
ENSG00000117054.9	ACADM	protein_coding	nontarget	nontarget	-0.035153540983681
ENSG00000196177.8	ACADSB	protein_coding	nontarget	nontarget	0.109141812669234
ENSG00000072778.15	ACADVL	protein_coding	nontarget	nontarget	0.109528289647279
ENSG00000075239.9	ACAT1	protein_coding	tc<0.27	cyto_target	0.204418962756403
ENSG00000182827.8	ACBD3	protein_coding	nontarget	nontarget	-0.0461964800127211
ENSG00000131473.12	ACLY	protein_coding	tc>0.27 & tc<1.04	cyto_target	0.108406678859211
ENSG00000100412.11	ACO2	protein_coding	tc<0.27	cyto_target	0.146579642788322
ENSG00000112304.6	ACOT13	protein_coding	nontarget	nontarget	1.01949530551648
ENSG00000123983.9	ACSL3	protein_coding	tc>1.04 & tc<65.26	mem_target	-0.27930750798138
ENSG00000068366.15	ACSL4	protein_coding	tc<0.27	cyto_target	0.154536332825467
ENSG00000184009.5	ACTG1	protein_coding	nontarget	nontarget	0.0467993158504602
ENSG00000136518.12	ACTL6A	protein_coding	tc<0.27	cyto_target	0.122494929343264
ENSG00000138107.7	ACTR1A	protein_coding	tc<0.27	cyto_target	-0.0786170567064518
ENSG00000115091.7	ACTR3	protein_coding	tc>0.27 & tc<1.04	cyto_target	0.0816521451651501
ENSG00000137845.10	ADAM10	protein_coding	tc>1.04 & tc<65.26	mem_target	-0.158692286179896
ENSG00000163050.12	ADCK3	protein_coding	tc>0.27 & tc<1.04	cyto_target	-0.0166633562970742
ENSG00000072364.8	AFF4	protein_coding	tc>0.27 & tc<1.04	cyto_target	0.189463043255364
ENSG00000141385.5	AFG3L2	protein_coding	nontarget	nontarget	0.0839937325454907
ENSG00000006530.11	AGK	protein_coding	nontarget	nontarget	0.0792447919239604
ENSG00000204310.6	AGPAT1	protein_coding	nontarget	nontarget	0.261125847511798
ENSG00000018510.8	AGPS	protein_coding	nontarget	nontarget	-0.0808343259295008
ENSG00000156709.9	AIFM1	protein_coding	nontarget	nontarget	0.136337874955345
ENSG00000164022.12	AIMP1	protein_coding	nontarget	nontarget	-0.0442089992380755
ENSG00000106305.5	AIMP2	protein_coding	nontarget	nontarget	0.118843748178342
ENSG00000004455.12	AK2	protein_coding	nontarget	cyto_target	-0.0587413834155897
ENSG00000162433.10	AK4	protein_coding	nontarget	cyto_target	0.251134117406929
ENSG00000121057.8	AKAP1	protein_coding	tc>0.27 & tc<1.04	mem_target	-0.0722183706915328
ENSG00000059573.4	ALDH18A1	protein_coding	tc>1.04 & tc<65.26	cyto_target	0.06790783823246
ENSG00000128918.10	ALDH1A2	protein_coding	tc<0.27	cyto_target	0.0978830684340324
ENSG00000137124.6	ALDH1B1	protein_coding	nontarget	nontarget	0.113525383483402
ENSG00000111275.8	ALDH2	protein_coding	nontarget	nontarget	0.127314524039914
ENSG00000072210.14	ALDH3A2	protein_coding	tc>0.27 & tc<1.04	cyto_target	0.102213585498111
ENSG00000112294.8	ALDH5A1	protein_coding	tc>0.27 & tc<1.04	cyto_target	0.3938894528235
ENSG00000164904.11	ALDH7A1	protein_coding	nontarget	nontarget	-0.081420693520212
ENSG00000143149.8	ALDH9A1	protein_coding	tc>1.04 & tc<65.26	cyto_target	-0.0115878149155843
ENSG00000149925.12	ALDOA	protein_coding	tc<0.27	cyto_target	-0.0351735723326895
ENSG00000033011.7	ALG1	protein_coding	tc>1.04 & tc<65.26	mem_target	-0.0437843910748495
ENSG00000120697.4	ALG5	protein_coding	nontarget	mem_target	-0.029316541781546
ENSG00000183684.6	ALYREF	protein_coding	tc<0.27	cyto_target	-0.0113433148725262
ENSG00000159461.10	AMFR	protein_coding	tc>1.04 & tc<65.26	mem_target	0.288605388584429
ENSG00000089053.8	ANAPC5	protein_coding	tc<0.27	cyto_target	0.0626424923540475
ENSG00000196510.8	ANAPC7	protein_coding	tc<0.27	cyto_target	-0.0439660319024741
ENSG00000185722.12	ANKFY1	protein_coding	nontarget	nontarget	0.146534506889786
ENSG00000131503.16	ANKHD1	protein_coding	nontarget	nontarget	0.0232818229678678
ENSG00000132466.13	ANKRD17	protein_coding	tc>1.04 & tc<65.26	cyto_target	-0.179163854070275
ENSG00000140350.11	ANP32A	protein_coding	tc<0.27	cyto_target	0.103409067534657
ENSG00000136938.8	ANP32B	protein_coding	tc<0.27	cyto_target	-0.0140018560096639
ENSG00000182718.12	ANXA2	protein_coding	nontarget	nontarget	-0.142863146764081
ENSG00000100280.12	AP1B1	protein_coding	tc>0.27 & tc<1.04	cyto_target	0.200245259257811
ENSG00000166747.8	AP1G1	protein_coding	tc>0.27 & tc<1.04	cyto_target	-0.0939996881502914
ENSG00000196961.8	AP2A1	protein_coding	tc>1.04 & tc<65.26	cyto_target	0.110728238832408
ENSG00000042753.7	AP2S1	protein_coding	tc<0.27	cyto_target	0.274946208735408
ENSG00000132842.9	AP3B1	protein_coding	tc>0.27 & tc<1.04	cyto_target	0.126353219584784
ENSG00000065000.11	AP3D1	protein_coding	tc>0.27 & tc<1.04	cyto_target	-0.00812312367407936
ENSG00000166181.8	API5	protein_coding	nontarget	nontarget	-0.0815112327156509
ENSG00000084234.12	APLP2	protein_coding	tc>1.04 & tc<65.26	mem_target	-0.0649507583870934
ENSG00000101474.7	APMAP	protein_coding	tc>1.04 & tc<65.26	mem_target	-0.23227620297853
ENSG00000163382.7	APOA1BP	protein_coding	tc<0.27	NA	0.195621636595409
ENSG00000184831.9	APOO	protein_coding	tc>0.27 & tc<1.04	cyto_target	-0.0424420683482405
ENSG00000142192.16	APP	protein_coding	tc>1.04 & tc<65.26	mem_target	-0.12138933260283
ENSG00000095139.9	ARCN1	protein_coding	tc<0.27	cyto_target	0.105646177241942
ENSG00000134287.5	ARF3	protein_coding	tc>0.27 & tc<1.04	cyto_target	-0.0471319622257996
ENSG00000168374.6	ARF4	protein_coding	nontarget	cyto_target	-0.0462083038081183
ENSG00000004059.6	ARF5	protein_coding	nontarget	nontarget	0.109948287142451
ENSG00000081181.3	ARG2	protein_coding	nontarget	nontarget	0.302924032767806
ENSG00000213390.6	ARHGAP19	protein_coding	tc>1.04 & tc<65.26	cyto_target	0.074699404603135
ENSG00000120805.9	ARL1	protein_coding	nontarget	nontarget	0.128078251849476
ENSG00000144746.6	ARL6IP5	protein_coding	tc>1.04 & tc<65.26	mem_target	-0.0213107564819139
ENSG00000134108.8	ARL8B	protein_coding	nontarget	nontarget	0.0929734801624564
ENSG00000104763.13	ASAH1	protein_coding	tc>1.04 & tc<65.26	mem_target	-0.284329591792758
ENSG00000112249.9	ASCC3	protein_coding	nontarget	nontarget	0.0594281616092279
ENSG00000198356.7	ASNA1	protein_coding	nontarget	nontarget	0.0414952192263276
ENSG00000064102.10	ASUN	protein_coding	nontarget	nontarget	0.229424506774065
ENSG00000138138.9	ATAD1	protein_coding	tc>1.04 & tc<65.26	mem_target	0.0510406144816997
ENSG00000197785.9	ATAD3A	protein_coding	nontarget	nontarget	0.0499004288463926
ENSG00000160072.15	ATAD3B	protein_coding	nontarget	nontarget	0.0147903149953589
ENSG00000171681.8	ATF7IP	protein_coding	tc>1.04 & tc<65.26	cyto_target	0.0185424012529414
