gene_id	Symbol	log2FoldChange.tumor.KO.WT	reg_tumor	localization_cat
ENSG00000000003.10	TSPAN6	-0.274960166251777	unchanged_tumor	membrane
ENSG00000000419.8	DPM1	-0.747319724532441	not_quantified	cytosolic
ENSG00000000457.9	SCYL3	1.00035021458757	up_tumor	cytosolic
ENSG00000000460.12	C1orf112	-0.279305607333653	unchanged_tumor	cytosolic
ENSG00000001036.9	FUCA2	-0.622113273140163	not_quantified	membrane
ENSG00000001084.6	GCLC	0.0515653272808782	unchanged_tumor	cytosolic
ENSG00000001167.10	NFYA	-0.313147157219202	not_quantified	cytosolic
ENSG00000001460.13	STPG1	1.39687213162515	up_tumor	cytosolic
ENSG00000001461.12	NIPAL3	0.2404898651305	unchanged_tumor	membrane
ENSG00000001497.12	LAS1L	0.0292253779148793	unchanged_tumor	cytosolic
ENSG00000001629.5	ANKIB1	-0.0442105689080018	unchanged_tumor	cytosolic
ENSG00000001630.11	CYP51A1	-0.656996861429348	not_quantified	membrane
ENSG00000001631.10	KRIT1	0.233426878646897	unchanged_tumor	cytosolic
ENSG00000002016.12	RAD52	-0.765581159687949	not_quantified	cytosolic
ENSG00000002330.9	BAD	-0.412536283818593	not_quantified	cytosolic
ENSG00000002549.8	LAP3	0.071694512672346	unchanged_tumor	cytosolic
ENSG00000002586.13	CD99	-0.943622704061638	not_quantified	membrane
ENSG00000002822.11	MAD1L1	-0.591281887555003	not_quantified	cytosolic
ENSG00000002834.13	LASP1	-0.076647168962239	unchanged_tumor	cytosolic
ENSG00000002919.10	SNX11	-0.0285236180871313	unchanged_tumor	cytosolic
ENSG00000003056.3	M6PR	-0.466699569989336	not_quantified	membrane
ENSG00000003147.13	ICA1	-0.315316678504964	unchanged_tumor	cytosolic
ENSG00000003249.9	DBNDD1	-0.53632182813977	unchanged_tumor	cytosolic
ENSG00000003393.10	ALS2	0.0797080835732977	unchanged_tumor	cytosolic
ENSG00000003402.15	CFLAR	0.441061013725631	not_quantified	cytosolic
ENSG00000003436.10	TFPI	0.211832862275405	unchanged_tumor	membrane
ENSG00000003509.11	NDUFAF7	0.405518309136425	not_quantified	cytosolic
ENSG00000003989.12	SLC7A2	-0.293879646589578	unchanged_tumor	membrane
ENSG00000004059.6	ARF5	-0.291702262729946	not_quantified	cytosolic
ENSG00000004142.7	POLDIP2	0.0773215170518374	unchanged_tumor	cytosolic
ENSG00000004399.8	PLXND1	-0.438734262104085	not_quantified	membrane
ENSG00000004455.12	AK2	-0.304228273854231	not_quantified	cytosolic
ENSG00000004478.5	FKBP4	-0.0641039490244061	unchanged_tumor	cytosolic
ENSG00000004487.11	KDM1A	-0.00168090494827045	unchanged_tumor	cytosolic
ENSG00000004534.10	RBM6	0.308473052090058	unchanged_tumor	cytosolic
ENSG00000004660.10	CAMKK1	1.26066697217303	up_tumor	cytosolic
