gene_id	Symbol	tc_CDS	tc_CDS_norm	tpm_cutoff	localization_cat	Annotation
ENSG00000000003.10	TSPAN6	78	1.75616345829112	44.415	membrane	protein_coding
ENSG00000000460.12	C1orf112	11	0.511865984178688	21.49	cytosolic	protein_coding
ENSG00000001036.9	FUCA2	125	2.18321543969959	57.255	membrane	protein_coding
ENSG00000001084.6	GCLC	4	0.189080595603876	21.155	cytosolic	protein_coding
ENSG00000001460.13	STPG1	4	0.33208800332088	12.045	cytosolic	protein_coding
ENSG00000001461.12	NIPAL3	80	3.43716433941998	23.275	membrane	protein_coding
ENSG00000001561.6	ENPP4	18	1.91184280403611	9.415	membrane	protein_coding
ENSG00000002919.10	SNX11	5.5	0.231043898340685	23.805	cytosolic	protein_coding
ENSG00000003056.3	M6PR	79.5	1.13022462325846	70.34	membrane	protein_coding
ENSG00000003096.9	KLHL13	4	0.463499420625724	8.63	cytosolic	protein_coding
ENSG00000003436.10	TFPI	6.5	0.981132075471698	6.625	membrane	protein_coding
ENSG00000003989.12	SLC7A2	214	8.21181887950883	26.06	membrane	protein_coding
ENSG00000004399.8	PLXND1	8.5	0.499706055261611	17.01	membrane	protein_coding
ENSG00000004478.5	FKBP4	12.5	0.0362918444967047	344.43	cytosolic	protein_coding
ENSG00000004487.11	KDM1A	12	0.114035921315214	105.23	cytosolic	protein_coding
ENSG00000004700.11	RECQL	7.5	0.364697301239971	20.565	cytosolic	protein_coding
ENSG00000004779.5	NDUFAB1	71.5	0.181806623863709	393.275	cytosolic	protein_coding
ENSG00000004866.14	ST7	4.5	0.15884221673138	28.33	membrane	protein_coding
ENSG00000005022.5	SLC25A5	90.5	0.121153704558994	746.985	cytosolic	protein_coding
ENSG00000005156.7	LIG3	5.5	0.180091683038638	30.54	cytosolic	protein_coding
ENSG00000005175.5	RPAP3	10.5	0.482315112540193	21.77	cytosolic	protein_coding
ENSG00000005249.8	PRKAR2B	3	0.0882482718046772	33.995	cytosolic	protein_coding
ENSG00000005801.12	ZNF195	9.5	0.794646591384358	11.955	cytosolic	protein_coding
ENSG00000005810.13	MYCBP2	4.5	0.221456692913386	20.32	cytosolic	protein_coding
ENSG00000005882.7	PDK2	13	0.758681062153487	17.135	cytosolic	protein_coding
ENSG00000005893.11	LAMP2	690.5	15.7128228467402	43.945	membrane	protein_coding
ENSG00000006016.6	CRLF1	16	3.43716433941998	4.655	membrane	protein_coding
ENSG00000006042.7	TMEM98	30	0.521603060071286	57.515	membrane	protein_coding
ENSG00000006118.10	TMEM132A	184.5	11.5420706912731	15.985	membrane	protein_coding
ENSG00000006125.12	AP2B1	65	0.884895514260432	73.455	cytosolic	protein_coding
ENSG00000006453.9	BAIAP2L1	6	0.341199886266705	17.585	cytosolic	protein_coding
ENSG00000006634.3	DBF4	2	0.136054421768707	14.7	cytosolic	protein_coding
ENSG00000006652.9	IFRD1	27	0.606332809342017	44.53	cytosolic	protein_coding
ENSG00000006712.10	PAF1	71	0.654166858617036	108.535	cytosolic	protein_coding
ENSG00000006831.9	ADIPOR2	85	1.43556831616281	59.21	membrane	protein_coding
ENSG00000007168.8	PAFAH1B1	39	0.951683748169839	40.98	cytosolic	protein_coding
ENSG00000007402.7	CACNA2D2	12	4.24778761061947	2.825	membrane	protein_coding
ENSG00000007541.10	PIGQ	117	4.73684210526316	24.7	membrane	protein_coding
ENSG00000007923.11	DNAJC11	17.5	0.394277345950208	44.385	cytosolic	protein_coding
ENSG00000007968.6	E2F2	7	0.532724505327245	13.14	cytosolic	protein_coding
ENSG00000008018.8	PSMB1	7	0.0173598194578776	403.23	cytosolic	protein_coding
ENSG00000008130.11	NADK	11	0.178731009830206	61.545	cytosolic	protein_coding
ENSG00000008282.3	SYPL1	333	4.41059602649007	75.5	membrane	protein_coding
ENSG00000008394.8	MGST1	5.5	0.0513970656947949	107.01	membrane	protein_coding
ENSG00000008405.7	CRY1	5.5	0.352677140109009	15.595	cytosolic	protein_coding
ENSG00000008441.12	NFIX	7.5	0.644883920894239	11.63	cytosolic	protein_coding
ENSG00000008838.13	MED24	55.5	0.732866763501915	75.73	cytosolic	protein_coding
ENSG00000008952.12	SEC62	6	0.327242977911099	18.335	membrane	protein_coding
ENSG00000009307.11	CSDE1	107.5	0.401884182586265	267.49	cytosolic	protein_coding
ENSG00000009335.13	UBE3C	8	0.144560896277557	55.34	cytosolic	protein_coding
ENSG00000009694.9	TENM1	7.5	1.01078167115903	7.42	membrane	protein_coding
ENSG00000009830.7	POMT2	18.5	2.04759269507471	9.035	membrane	protein_coding
ENSG00000009844.11	VTA1	19	0.527704485488127	36.005	cytosolic	protein_coding
ENSG00000010244.12	ZNF207	50.5	0.399904973075705	126.28	cytosolic	protein_coding
ENSG00000010256.6	UQCRC1	14	0.0640029258480388	218.74	cytosolic	protein_coding
ENSG00000010278.7	CD9	251	2.44782523893115	102.54	membrane	protein_coding
ENSG00000010292.8	NCAPD2	81.5	0.790149789131805	103.145	cytosolic	protein_coding
ENSG00000010361.9	FUZ	11.5	0.182134938232499	63.14	cytosolic	protein_coding
ENSG00000010803.12	SCMH1	4.5	0.158450704225352	28.4	cytosolic	protein_coding
ENSG00000010810.13	FYN	6	0.105661706436559	56.785	cytosolic	protein_coding
ENSG00000011009.6	LYPLA2	6	0.143215180809166	41.895	cytosolic	protein_coding
ENSG00000011021.17	CLCN6	3	1.03806228373702	2.89	membrane	protein_coding
ENSG00000011028.9	MRC2	12.5	2.84738041002278	4.39	membrane	protein_coding
ENSG00000011052.17	NME2	111	0.479616306954436	231.435	cytosolic	protein_coding
ENSG00000011105.7	TSPAN9	20.5	2.03980099502488	10.05	membrane	protein_coding
ENSG00000011201.6	KAL1	186	16.3229486616937	11.395	membrane	protein_coding
ENSG00000011258.11	MBTD1	31.5	1.99809705042816	15.765	cytosolic	protein_coding
ENSG00000011295.11	TTC19	8.5	0.193335607869896	43.965	cytosolic	protein_coding
ENSG00000011304.12	PTBP1	276.5	1.13764940648851	243.045	cytosolic	protein_coding
ENSG00000011454.12	RABGAP1	28	2.48888888888889	11.25	cytosolic	protein_coding
ENSG00000011478.7	QPCTL	64.5	5.91471801925722	10.905	membrane	protein_coding
ENSG00000011485.10	PPP5C	101	0.825905634148336	122.29	cytosolic	protein_coding
ENSG00000012061.11	ERCC1	10.5	0.244129272262265	43.01	cytosolic	protein_coding
ENSG00000012174.7	MBTPS2	795	33.3823220659248	23.815	membrane	protein_coding
ENSG00000012232.4	EXTL3	18	0.794176042356056	22.665	membrane	protein_coding
ENSG00000012660.9	ELOVL5	1097.5	11.59106511063	94.685	membrane	protein_coding
ENSG00000013275.3	PSMC4	36.5	0.186343331206126	195.875	cytosolic	protein_coding
ENSG00000013288.4	MAN2B2	20.5	5.94202898550725	3.45	membrane	protein_coding
ENSG00000013306.11	SLC25A39	5	0.0375911585595068	133.01	cytosolic	protein_coding
ENSG00000013375.11	PGM3	5	0.225428313796213	22.18	cytosolic	protein_coding
ENSG00000013561.13	RNF14	5	0.165617754223253	30.19	cytosolic	protein_coding
ENSG00000013588.5	GPRC5A	71.5	12.9061371841155	5.54	membrane	protein_coding
ENSG00000014641.13	MDH1	63.5	0.324916212551488	195.435	cytosolic	protein_coding
ENSG00000014919.8	COX15	133	3.00429184549356	44.27	cytosolic	protein_coding
ENSG00000015479.13	MATR3	147.5	0.502521122921777	293.52	cytosolic	protein_coding
ENSG00000016864.12	GLT8D1	31	0.942822384428224	32.88	membrane	protein_coding
ENSG00000017260.15	ATP2C1	156.5	6.49647156496472	24.09	membrane	protein_coding
ENSG00000018236.10	CNTN1	19.5	3.33048676345004	5.855	membrane	protein_coding
ENSG00000018408.10	WWTR1	2	0.146842878120411	13.62	cytosolic	protein_coding
ENSG00000020256.15	ZFP64	87	2.63516583371195	33.015	cytosolic	protein_coding
ENSG00000020426.6	MNAT1	11.5	0.297426613216087	38.665	cytosolic	protein_coding
ENSG00000020922.8	MRE11A	5	0.233644859813084	21.4	cytosolic	protein_coding
ENSG00000021355.8	SERPINB1	6	0.380469245402663	15.77	cytosolic	protein_coding
ENSG00000021645.13	NRXN3	31	5.88793922127256	5.265	membrane	protein_coding
ENSG00000021776.6	AQR	10	0.984251968503937	10.16	cytosolic	protein_coding
ENSG00000022267.12	FHL1	12	0.0737599114881062	162.69	cytosolic	protein_coding
ENSG00000022277.8	RTFDC1	13.5	0.133995037220844	100.75	cytosolic	protein_coding
ENSG00000022840.11	RNF10	9.5	0.102062741727546	93.08	cytosolic	protein_coding
ENSG00000023228.9	NDUFS1	14	0.303786481501573	46.085	cytosolic	protein_coding
ENSG00000023318.7	ERP44	72	7.64331210191083	9.42	membrane	protein_coding
ENSG00000023330.10	ALAS1	7.5	0.323345548609614	23.195	cytosolic	protein_coding
ENSG00000023734.6	STRAP	3.5	0.0176821258967364	197.94	cytosolic	protein_coding
ENSG00000024526.12	DEPDC1	18	0.560485754320411	32.115	cytosolic	protein_coding
ENSG00000025156.8	HSF2	9.5	0.322143099355714	29.49	cytosolic	protein_coding
ENSG00000025770.14	NCAPH2	14.5	0.254319038849426	57.015	cytosolic	protein_coding
ENSG00000025796.9	SEC63	734	32.7678571428571	22.4	membrane	protein_coding
ENSG00000026025.9	VIM	284	0.68100616262619	417.03	cytosolic	protein_coding
ENSG00000026508.12	CD44	93.5	9.32203389830508	10.03	membrane	protein_coding
ENSG00000027697.8	IFNGR1	55	2.49546279491833	22.04	membrane	protein_coding
ENSG00000027847.9	B4GALT7	3.5	0.259451445515196	13.49	membrane	protein_coding
ENSG00000029363.11	BCLAF1	64	1.04918032786885	61	cytosolic	protein_coding
ENSG00000029364.7	SLC39A9	68.5	2.40942666197679	28.43	membrane	protein_coding
ENSG00000029725.12	RABEP1	7	0.153424657534247	45.625	cytosolic	protein_coding
ENSG00000030066.9	NUP160	3.5	0.136772176631497	25.59	cytosolic	protein_coding
ENSG00000030582.12	GRN	245.5	3.3745704467354	72.75	membrane	protein_coding
ENSG00000031691.6	CENPQ	8	0.668616798997075	11.965	cytosolic	protein_coding
ENSG00000031698.8	SARS	38.5	0.280132426237858	137.435	cytosolic	protein_coding
ENSG00000032444.11	PNPLA6	5	0.637755102040816	7.84	membrane	protein_coding
ENSG00000033011.7	ALG1	71.5	3.96671289875173	18.025	membrane	protein_coding
ENSG00000033030.9	ZCCHC8	6.5	0.441426146010187	14.725	cytosolic	protein_coding
ENSG00000033050.3	ABCF2	19.5	0.42166720726565	46.245	cytosolic	protein_coding
ENSG00000033178.8	UBA6	6	0.544711756695415	11.015	cytosolic	protein_coding
ENSG00000033627.10	ATP6V0A1	356.5	13.1066176470588	27.2	membrane	protein_coding
ENSG00000033800.9	PIAS1	5.5	0.326894502228826	16.825	cytosolic	protein_coding
ENSG00000035687.9	ADSS	33	0.429771439734323	76.785	cytosolic	protein_coding
ENSG00000035862.8	TIMP2	70.5	5.82403965303594	12.105	membrane	protein_coding
ENSG00000036257.8	CUL3	21	0.488883715516238	42.955	cytosolic	protein_coding
ENSG00000037241.3	RPL26L1	5	0.0437560164522622	114.27	cytosolic	protein_coding
ENSG00000037280.11	FLT4	9	0.432796345275307	20.795	cytosolic	protein_coding
ENSG00000037474.10	NSUN2	3.5	0.0389581478183437	89.84	cytosolic	protein_coding
ENSG00000038002.4	AGA	5.5	0.527831094049904	10.42	membrane	protein_coding
ENSG00000038382.13	TRIO	10.5	0.711864406779661	14.75	cytosolic	protein_coding
ENSG00000038427.11	VCAN	977	65.2638610554442	14.97	membrane	protein_coding
ENSG00000038532.10	CLEC16A	13	1.11111111111111	11.7	cytosolic	protein_coding
ENSG00000039123.11	SKIV2L2	9.5	0.511302475780409	18.58	cytosolic	protein_coding
