gene_id	Symbol	localization_cat	region	par_clip_enrichment
ENSG00000000003.10	TSPAN6	membrane	transcript	2.82562197455814
ENSG00000000460.12	C1orf112	cytosolic	transcript	0.511865984178688
ENSG00000001036.9	FUCA2	membrane	transcript	2.49759846301633
ENSG00000001084.6	GCLC	cytosolic	transcript	0.189080595603876
ENSG00000001460.13	STPG1	cytosolic	transcript	0.33208800332088
ENSG00000001461.12	NIPAL3	membrane	transcript	3.9312567132116
ENSG00000001497.12	LAS1L	cytosolic	transcript	0.112639794030091
ENSG00000002919.10	SNX11	cytosolic	transcript	0.231043898340685
ENSG00000003056.3	M6PR	membrane	transcript	1.33636622121126
ENSG00000003989.12	SLC7A2	membrane	transcript	8.57636224098235
ENSG00000004399.8	PLXND1	membrane	transcript	0.499706055261611
ENSG00000004455.12	AK2	cytosolic	transcript	0.169557213448309
ENSG00000004478.5	FKBP4	cytosolic	transcript	0.140812356647214
ENSG00000004487.11	KDM1A	cytosolic	transcript	0.114035921315214
ENSG00000004700.11	RECQL	cytosolic	transcript	0.364697301239971
ENSG00000004779.5	NDUFAB1	cytosolic	transcript	0.181806623863709
ENSG00000004864.9	SLC25A13	cytosolic	transcript	0.18605982539001
ENSG00000004866.14	ST7	membrane	transcript	0.15884221673138
ENSG00000005022.5	SLC25A5	cytosolic	transcript	0.157299008681567
ENSG00000005156.7	LIG3	cytosolic	transcript	0.180091683038638
ENSG00000005175.5	RPAP3	cytosolic	transcript	0.482315112540193
ENSG00000005249.8	PRKAR2B	cytosolic	transcript	0.0882482718046772
ENSG00000005801.12	ZNF195	cytosolic	transcript	0.794646591384358
ENSG00000005810.13	MYCBP2	cytosolic	transcript	0.221456692913386
ENSG00000005882.7	PDK2	cytosolic	transcript	0.992121388969945
ENSG00000005893.11	LAMP2	membrane	transcript	18.693821822733
ENSG00000006042.7	TMEM98	membrane	transcript	0.521603060071286
ENSG00000006118.10	TMEM132A	membrane	transcript	11.5420706912731
ENSG00000006125.12	AP2B1	cytosolic	transcript	1.10952283711116
ENSG00000006451.3	RALA	cytosolic	transcript	0.824111137273369
ENSG00000006453.9	BAIAP2L1	cytosolic	transcript	0.341199886266705
ENSG00000006634.3	DBF4	cytosolic	transcript	0.136054421768707
ENSG00000006652.9	IFRD1	cytosolic	transcript	1.13406692117673
ENSG00000006712.10	PAF1	cytosolic	transcript	0.654166858617036
