Gene.names	Razor...unique.peptides	lfq.hdlbp1	lfq.ctrl2	lfq.hdlbp2	lfq.ctrl3	lfq.hdlbp3	up1	up2	up3
ESYT2	20	517740000	42492000	183920000	0	59079000	enr1	enr2	NA
UHRF1BP1L	7	73318000	0	0	0	0	NA	NA	NA
KIAA1598	15	136830000	0	170560000	0	52157000	enr1	enr2	NA
MEX3A	4	59542000	0	49318000	0	0	NA	NA	NA
ILVBL	5	160480000	65737000	109450000	0	47193000	NA	NA	NA
SH3PXD2B	4	0	0	0	0	4264900	NA	NA	NA
ZNF320;ZNF679;ZNF506;ZNF735;ZNF66;ZNF486;ZNF701;ZNF141;ZNF888;ZNF468;ZNF765;ZNF479;ZNF257;ZNF92;ZNF732;ZNF578;ZNF813;ZNF761;ZNF28;ZNF808;ZNF845;ZNF91;ZNF729	3	0	0	0	8741100	0	NA	NA	NA
CCDC66	3	8300600	0	0	0	0	NA	NA	NA
VWA8	7	42091000	0	31411000	0	0	NA	NA	NA
SBNO1	4	0	0	14179000	0	0	NA	NA	NA
CNOT1	49	839390000	73311000	1.18e+09	23925000	309350000	enr1	enr2	enr3
SMCHD1	5	0	0	4962800	0	0	NA	NA	NA
CCDC85C	11	227180000	0	315420000	0	111480000	enr1	enr2	NA
ARHGAP32	3	77399000	0	0	0	0	NA	NA	NA
DDX11;DDX11L8;DDX12P	3	18066000	0	0	0	0	NA	NA	NA
NUDT19	3	24431000	0	0	0	0	NA	NA	NA
MYO9A	3	19123000	0	0	0	0	NA	NA	NA
GPR89A;GPR89B;GPR89C	4	0	0	11352000	0	0	NA	NA	NA
FAM195B	4	270150000	0	204680000	0	0	enr1	enr2	NA
KRT14	17	376990000	1322100000	399170000	0	256280000	NA	NA	enr3
KRT8	22	1019300000	473320000	784180000	95805000	215370000	NA	NA	NA
KRT19	14	385870000	100910000	236620000	49504000	0	enr1	NA	NA
KRT16	29	1462500000	7381900000	1038900000	0	811470000	NA	NA	enr3
KRT10	35	6721500000	2.5528e+10	1.5632e+10	1649700000	1.0603e+10	NA	NA	enr3
KRT5	21	420160000	1359500000	846110000	0	474460000	NA	NA	enr3
KRT6C	32	1903800000	8410700000	907800000	44144000	1563600000	NA	NA	enr3
KRT17	15	32093000	801410000	0	0	19146000	NA	NA	NA
KRT31;KRT33B	4	0	0	0	0	41061000	NA	NA	NA
KRT80	4	0	29808000	0	0	0	NA	NA	NA
KRT78	3	0	6269700	0	0	0	NA	NA	NA
KRT77	5	0	0	0	0	15377000	NA	NA	NA
HRNR	8	49127000	302420000	97140000	0	165370000	NA	NA	enr3
AGPS	4	19119000	0	24524000	0	0	NA	NA	NA
KIF2A	16	406090000	165280000	222160000	87680000	123210000	NA	NA	NA
DDX39A	15	3109500000	1618200000	2942700000	634910000	1062700000	NA	NA	NA
PDLIM1	11	677040000	0	807460000	0	468330000	enr1	enr2	enr3
ACOT7	7	70319000	62317000	127140000	53220000	0	NA	NA	NA
MYO1C	14	143030000	0	117590000	0	0	enr1	NA	NA
SNAP23	5	0	0	49230000	0	0	NA	NA	NA
HAX1	6	105720000	66211000	79606000	29404000	32053000	NA	NA	NA
GTPBP1	13	426330000	55953000	192890000	0	4.8e+07	enr1	enr2	NA
STXBP3	5	52256000	0	36618000	0	0	NA	NA	NA
AP3B1	31	923630000	250080000	1747300000	48127000	680450000	enr1	enr2	enr3
APBB1	7	187690000	0	168860000	0	112430000	enr1	enr2	NA
PSMD11	13	289110000	30966000	399570000	0	140460000	enr1	enr2	enr3
PSMD12	11	0	0	167720000	0	0	NA	enr2	NA
MEN1	6	0	0	67266000	0	0	NA	NA	NA
SUPT5H	6	0	46107000	61549000	0	0	NA	NA	NA
TAF4	9	46240000	78693000	0	60549000	58433000	NA	NA	NA
CLIC1	3	0	0	0	0	17667000	NA	NA	NA
EIF3F	12	582290000	365590000	563360000	192320000	217800000	NA	NA	NA
WWP2	3	21124000	0	0	0	0	NA	NA	NA
CDC7	4	47384000	0	0	0	0	NA	NA	NA
SLC33A1	5	25211000	0	0	0	0	NA	NA	NA
WASL	5	0	0	36971000	0	0	NA	NA	NA
IPO5	15	207990000	82259000	224430000	0	82816000	NA	NA	NA
POLRMT	8	44574000	29749000	29377000	0	0	NA	NA	NA
EEF2K	12	208620000	0	210570000	0	49701000	enr1	enr2	NA
SAP18	3	28467000	0	0	0	0	NA	NA	NA
IGF2BP3	15	510130000	64913000	417140000	51755000	222090000	enr1	enr2	enr3
DNM1L	12	155590000	0	131430000	0	0	enr1	NA	NA
RTCA	4	19509000	0	0	0	0	NA	NA	NA
PIK3C2A	12	76258000	0	61349000	0	0	NA	NA	NA
EXOC5	3	12267000	0	13699000	0	0	NA	NA	NA
PSMD14	6	0	53756000	0	0	0	NA	NA	NA
KPNA3	4	69081000	0	83622000	0	0	NA	NA	NA
PES1	5	100950000	51275000	93263000	0	45955000	NA	NA	NA
SDCBP	5	128620000	0	218980000	0	238110000	NA	enr2	enr3
NOP56	15	301350000	238540000	327780000	9601700	137020000	NA	NA	enr3
DDX3X;DDX3Y	35	7443700000	4869700000	8829700000	1608500000	3616300000	NA	NA	NA
PPP6C	9	864340000	88049000	758240000	0	417510000	enr1	enr2	enr3
PIK3C2B	4	0	0	0	0	2642800	NA	NA	NA
ACACB	70	3918100000	4.408e+09	2281600000	1803700000	544560000	NA	NA	NA
TMEM194A	3	54285000	0	36115000	0	0	NA	NA	NA
TXNDC9	7	116750000	0	430680000	25858000	66770000	NA	enr2	NA
DPYSL4	18	1040100000	0	1210900000	0	289320000	enr1	enr2	enr3
UBFD1	3	0	0	49449000	0	0	NA	NA	NA
AP3D1	24	566970000	142550000	525490000	17742000	97008000	enr1	enr2	NA
ABLIM1	11	79064000	0	110350000	0	55065000	NA	NA	NA
DVL1;DVL1P1	14	467750000	0	364280000	0	272580000	enr1	enr2	enr3
DVL2	24	3079800000	339410000	2173800000	161120000	632140000	enr1	enr2	enr3
CHD1	4	0	0	17135000	0	0	NA	NA	NA
IRS4	32	4.25e+09	1312500000	2872700000	338220000	1e+09	enr1	NA	NA
RIOK3	3	45946000	0	44919000	0	0	NA	NA	NA
MAP2K7	5	0	0	20591000	0	0	NA	NA	NA
ACOT8	5	32561000	0	0	0	0	NA	NA	NA
CDIPT	6	471980000	62285000	235130000	65049000	0	enr1	enr2	NA
PDCD5	7	542600000	0	845160000	0	699930000	enr1	enr2	enr3
PRMT5	4	67938000	0	58984000	0	0	NA	NA	NA
SLC9A3R1	3	0	0	20324000	0	0	NA	NA	NA
CHEK1	3	0	0	22623000	0	0	NA	NA	NA
TCERG1	8	53800000	0	77989000	0	17724000	NA	NA	NA
NDC80	3	9868100	0	0	0	0	NA	NA	NA
POLR3A	5	0	0	31972000	0	0	NA	NA	NA
PSMA7;PSMA8	5	58762000	31281000	53095000	0	0	NA	NA	NA
SCAMP3	3	37670000	24673000	44506000	0	0	NA	NA	NA
BCKDK	6	80090000	0	63852000	0	0	NA	NA	NA
GIPC1	4	0	0	9677000	0	0	NA	NA	NA
TIMM23;TIMM23B	5	221910000	0	165930000	25303000	114600000	enr1	enr2	NA
HAT1	3	16191000	0	0	0	0	NA	NA	NA
UQCRQ	3	0	0	0	0	15058000	NA	NA	NA
HGS	7	102110000	0	104030000	0	0	NA	NA	NA
PPP1R12A	10	132480000	0	115360000	0	0	NA	NA	NA
GAK	7	121720000	0	111870000	0	0	NA	NA	NA
XPO1	28	708450000	175740000	369350000	48226000	138240000	enr1	NA	NA
BTAF1	5	24993000	0	20320000	0	0	NA	NA	NA
MAST4	4	2615300	0	0	0	0	NA	NA	NA
SEC16A	14	197580000	50286000	147360000	0	34709000	enr1	NA	NA
U2SURP	12	79897000	33184000	66385000	0	25857000	NA	NA	NA
SYNJ2	5	58409000	0	58488000	0	0	NA	NA	NA
KIAA0355	3	4142400	0	0	0	0	NA	NA	NA
PFAS	12	111250000	0	142710000	0	0	NA	enr2	NA
DCLK1	5	75608000	12893000	52341000	0	25976000	NA	NA	NA
ANKRD28	24	1259900000	34878000	832930000	0	425570000	enr1	enr2	enr3
KIAA0391	4	0	12764000	19702000	0	0	NA	NA	NA
CHUK	9	169310000	0	180430000	0	0	enr1	enr2	NA
ARPC2	4	39267000	0	47649000	0	0	NA	NA	NA
ARPC3	4	0	0	19602000	0	0	NA	NA	NA
PGRMC2	4	90031000	0	92871000	0	56604000	NA	NA	NA
PFDN6	3	0	0	0	0	35508000	NA	NA	NA
NKRF	23	951600000	454370000	410180000	120050000	101590000	NA	NA	NA
RER1	4	90365000	0	96266000	0	0	NA	NA	NA
SURF4	5	147930000	34412000	125140000	65930000	111810000	enr1	NA	NA
SPTLC1	5	118100000	56514000	69830000	0	0	NA	NA	NA
