gene	AvgP	mean_enr	up
ABCB7	NA	3.98550214043501	enr
ABCF3	0.95	NA	NA
ABLIM1	0.03	NA	NA
ACACA	0	NA	NA
ACACB	0	NA	NA
ACOT1	NA	NA	enr
ACTA1	0	NA	NA
ACTB	0	NA	NA
AFDN	0	NA	NA
AGO2	0.18	NA	NA
AGTPBP1	0.03	NA	enr
AHNAK	0	NA	enr
ALB	0.5	NA	NA
ALDH18A1	0	NA	NA
ALDH1A2	NA	NA	enr
ANKHD1	0	NA	enr
ANKRD17	0	NA	enr
ANKRD28	1	NA	enr
ANKRD44	0.45	NA	NA
ANKRD52	0.97	NA	enr
ANKS1A	NA	NA	enr
AP2M1	0.04	NA	NA
AP3B1	NA	8.27297850097406	enr
ARF4	NA	3.7732563074731	enr
ARFGAP1	NA	NA	enr
ARL1	NA	NA	enr
ARPIN	NA	NA	enr
ASCC1	0.89	NA	NA
ASCC3	0.4	NA	enr
ASXL1	0.45	NA	NA
ATG2B	0	NA	enr
ATP1A1	NA	NA	enr
ATP5A1	0	NA	NA
ATP6V1H	NA	NA	enr
ATXN2	NA	NA	enr
ATXN2L	0	26.1327680399557	enr
AZGP1	0.45	NA	NA
B2M	0.45	NA	NA
BCCIP	0.01	NA	NA
BCR	0.31	NA	NA
BPIFA1	0.5	NA	NA
BPIFB1	0.5	NA	NA
BRAP	0	NA	enr
C11orf49	NA	NA	enr
C1orf198	NA	NA	enr
C1QBP	0	NA	NA
CALD1	0	NA	enr
CAPRIN1	0.42	NA	enr
CAPZA1	0	NA	enr
CAPZB	0	NA	enr
CC2D1A	0.02	NA	NA
CCDC124	0.01	NA	enr
CCDC25	NA	NA	enr
CCDC43	NA	NA	enr
CCDC85C	0.03	NA	NA
CCT2	0	14.0907833932421	enr
CCT3	0	NA	NA
CCT4	0	NA	NA
CCT5	0	NA	NA
CCT6A	0	NA	NA
CCT7	0	NA	enr
CCT8	0	30.1041754080309	enr
CD2AP	0	NA	enr
CDC37	0.01	NA	NA
CDK3	0.19	NA	NA
CDV3	NA	NA	enr
CEP170	0	NA	enr
CHMP2B	NA	NA	enr
CIAPIN1	NA	NA	enr
CKAP5	0	NA	enr
CKB	0.17	NA	NA
CLINT1	0	NA	enr
CLUH	0.28	NA	NA
CNN3	NA	NA	enr
CNOT1	NA	13.4918382596056	enr
CNOT11	0.33	NA	NA
CNOT2	0.26	NA	NA
COIL	NA	NA	enr
COMMD8	NA	NA	enr
COPG2	0	52.3328140174853	enr
CORO1B	0	339.753475566732	enr
CORO1C	NA	NA	enr
CPSF3	NA	NA	enr
CPVL	NA	NA	enr
CRK	0	NA	enr
CRKL	0	4.27618596657586	enr
CSDE1	0	99.2048672313114	enr
CTPS1	0	5.03534209960155	enr
CTTN	0	38.417606586336	enr
CUL4A	NA	3.50240552779323	enr
DBNL	NA	NA	enr
DDX1	NA	6.32137088109466	enr
DDX21	0	NA	NA
DDX3X	0	NA	NA
DDX6	0	NA	NA
DHX29	0	NA	enr
DHX9	0	NA	NA
DIABLO	0.01	NA	NA
DLGAP5	NA	NA	enr
DMBT1	0.45	NA	NA
DNAJB1	NA	NA	enr
DNAJC11	0.04	NA	NA
DPYSL2	0	NA	enr
DPYSL3	NA	NA	enr
DPYSL4	NA	NA	enr
DPYSL5	NA	NA	enr
DRG1	NA	NA	enr
DVL1	0.15	NA	enr
DVL2	0	6.46734526479011	enr
DVL3	NA	NA	enr
ECD	NA	NA	enr
EDC4	NA	5.04021367988668	enr
EEF1A1	0	NA	NA
EEF1B2	NA	NA	enr
EEF1D	NA	NA	enr
EEF2	0	NA	NA
EFHD1	0.1	NA	enr
EFHD2	0	NA	enr
EFTUD2	0	NA	NA
EGLN1	0.07	NA	NA
EIF2A	NA	NA	enr
EIF3A	0	4.55691468868905	enr
EIF3B	0	4.15948700434896	enr
EIF3C	0	NA	NA
EIF3I	0	NA	enr
EIF4A1	0	NA	NA
EIF4A3	0	NA	NA
EIF4B	0	NA	enr
EIF4E	0.02	NA	enr
EIF4E2	0	44.3672863047625	enr
EIF4ENIF1	0.09	NA	NA
EIF4G1	0	NA	enr
EIF4G2	0	NA	enr
EIF4G3	0	NA	NA
EIF4H	0.03	NA	NA
EIF5	0	130.333346706814	enr
EIF5A	NA	NA	enr
ENO1	0	NA	NA
EPB41	NA	NA	enr
EPB41L3	0	68.0353047768135	enr
EPS15L1	0	NA	enr
ERBB2IP	NA	NA	enr
ERC2	0.45	NA	NA
ESYT1	NA	NA	enr
EXOC4	NA	NA	enr
FAM120A	0.09	NA	NA
FASN	0	18.9624228256324	enr
FBXO42	0.95	NA	NA
FLNA	0	11.5642686332058	enr
FLNB	0	NA	enr
FMR1	0.53	NA	enr
FUBP3	NA	NA	enr
FXR1	NA	NA	enr
FXR2	0.03	NA	NA
G3BP1	0	30.0901973210793	enr
G3BP2	0.44	NA	NA
GAPVD1	NA	NA	enr
GCN1	0	NA	NA
GCN1L1	NA	6.36775118932878	enr
GEMIN5	0	92.7601714989546	enr
GIGYF2	0	44.3421263685697	enr
GPATCH1	0	NA	enr
GRB2	0.07	NA	NA
GTPBP1	0.16	NA	NA
HAUS6	0	NA	NA
HBS1L	NA	NA	enr
HDLBP	NA	12.276188611936	enr
HIST1H1C	0	NA	NA
HIST2H2AA4	0	NA	NA
HIST2H2BF	0	NA	NA
HIST2H4B	0	NA	NA
HN1	NA	NA	enr
HN1L	0	NA	enr
HNRNPK	0	NA	NA
HNRNPM	0	NA	NA
HNRNPU	0	NA	NA
HSP90AA1	0	NA	NA
HSP90AB1	0	NA	NA
HSPA1A	0	3.77419603464894	enr
HSPA4	0.1	NA	enr
HSPA5	0	8.05480436412962	enr
HSPA6	0	NA	NA
