gene_id	Symbol	gene_biotype	target_loc	mean_memb_4h	log2FoldChange.ribo.rna.KO.WT	tc_transcript_norm
ENSG00000108679.8	LGALS3BP	protein_coding	mem_target	-0.455692194342902	-0.131582315864158	13.2894076877479
ENSG00000135862.5	LAMC1	protein_coding	mem_target	-0.430210036973095	-0.3404342	29.5734714003945
ENSG00000155380.7	SLC16A1	protein_coding	mem_target	-0.41996516934905	-0.04897448	25.7631912610943
ENSG00000151233.6	GXYLT1	protein_coding	mem_target	-0.390117917368051	-0.1351091	18.8707280832095
ENSG00000084073.4	ZMPSTE24	protein_coding	mem_target	-0.367820860862819	-0.0117491018495176	9.1980198019802
ENSG00000091136.9	LAMB1	protein_coding	mem_target	-0.363817696088151	-0.409323135852736	5.55021624219125
ENSG00000008952.12	SEC62	protein_coding	mem_target	-0.354371709064005	-0.0713338464723142	3.27242977911099
ENSG00000162736.11	NCSTN	protein_coding	mem_target	-0.343705909036058	-0.3369445	30.702875399361
ENSG00000044574.7	HSPA5	protein_coding	mem_target	-0.313282671354046	-0.157521504573315	3.14237011783888
ENSG00000132182.7	NUP210	protein_coding	mem_target	-0.298241707081152	-0.4210128	30.5331014018213
ENSG00000104763.13	ASAH1	protein_coding	mem_target	-0.284329591792758	-0.044600729454995	4.14102430374465
ENSG00000123983.9	ACSL3	protein_coding	mem_target	-0.27930750798138	-0.2134398	5.8201824236282
ENSG00000109861.11	CTSC	protein_coding	mem_target	-0.274048568997039	-0.24550169013798	4.35940099833611
ENSG00000174437.12	ATP2A2	protein_coding	mem_target	-0.267490211425581	-0.2351168	34.0704155149758
ENSG00000197081.8	IGF2R	protein_coding	mem_target	-0.257290765843775	-0.4214603	28.387968908415
ENSG00000090863.7	GLG1	protein_coding	mem_target	-0.255379464534208	-0.279427186724553	8.2668793195109
ENSG00000100473.11	COCH	protein_coding	mem_target	-0.243229877080436	-0.0372274790732638	4.69289164941339
ENSG00000154305.12	MIA3	protein_coding	mem_target	-0.225127117787063	-0.8878092	12.514220705347
ENSG00000111897.6	SERINC1	protein_coding	mem_target	-0.224692582209441	-0.134745364623203	32.2728001282257
ENSG00000143815.10	LBR	protein_coding	mem_target	-0.222524423331503	-0.07089855	21.1511996649315
ENSG00000104805.11	NUCB1	protein_coding	mem_target	-0.216319015883851	-0.0403039733899829	1.73393344646942
ENSG00000142627.9	EPHA2	protein_coding	mem_target	-0.215010786762534	-0.1188763	1.5390534821085
ENSG00000144867.7	SRPRB	protein_coding	mem_target	-0.195783541760459	-0.1164944	2.0289229440967
ENSG00000109133.8	TMEM33	protein_coding	mem_target	-0.195510473768704	-0.21899758745972	17.4848688634835
ENSG00000105281.8	SLC1A5	protein_coding	mem_target	-0.194346107901933	-0.101413753197503	21.0017499067673
