gene_id	Symbol	log2FoldChange.tumor.KO.WT	reg_tumor	localization_cat	loc_tar_CDS
ENSG00000000003.10	TSPAN6	-0.274960166251777	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000001036.9	FUCA2	-0.622113273140163	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000001461.12	NIPAL3	0.2404898651305	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000001630.11	CYP51A1	-0.656996861429348	not_quantified	membrane	nontarget_membrane
ENSG00000002586.13	CD99	-0.943622704061638	not_quantified	membrane	nontarget_membrane
ENSG00000003056.3	M6PR	-0.466699569989336	not_quantified	membrane	membrane_tc<1.66
ENSG00000003989.12	SLC7A2	-0.293879646589578	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000004399.8	PLXND1	-0.438734262104085	not_quantified	membrane	membrane_tc<1.66
ENSG00000004866.14	ST7	-1.07151825337409	down_tumor	membrane	membrane_tc<1.66
ENSG00000005486.12	RHBDD2	-0.734973419295461	not_quantified	membrane	nontarget_membrane
ENSG00000005893.11	LAMP2	-1.01807259116557	down_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000006042.7	TMEM98	1.1968264966507	up_tumor	membrane	membrane_tc<1.66
ENSG00000006118.10	TMEM132A	-0.445720231369068	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000006327.9	TNFRSF12A	0.854893506036059	not_quantified	membrane	nontarget_membrane
ENSG00000006576.12	PHTF2	0.0937008815585349	unchanged_tumor	membrane	nontarget_membrane
ENSG00000006831.9	ADIPOR2	-0.368915474832288	not_quantified	membrane	membrane_tc<1.66
ENSG00000007341.14	ST7L	-0.299934080089044	unchanged_tumor	membrane	nontarget_membrane
ENSG00000007541.10	PIGQ	-0.243801636546362	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000008282.3	SYPL1	-0.973538947407225	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000008394.8	MGST1	-0.875517044329237	not_quantified	membrane	membrane_tc<1.66
ENSG00000008952.12	SEC62	0.184957435805674	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000010278.7	CD9	-1.10798822989758	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000011105.7	TSPAN9	-0.193368192641316	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000011478.7	QPCTL	0.425127872182788	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000012174.7	MBTPS2	0.796291361526645	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000012232.4	EXTL3	0.23511078657629	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000012660.9	ELOVL5	-0.908367560853344	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000013523.5	ANGEL1	-0.432461811940241	unchanged_tumor	membrane	nontarget_membrane
ENSG00000016864.12	GLT8D1	-1.12963095320045	down_tumor	membrane	membrane_tc<1.66
ENSG00000017260.15	ATP2C1	-0.731089692947136	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000025796.9	SEC63	-0.576200096390446	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000026297.11	RNASET2	-0.98341722207556	not_quantified	membrane	nontarget_membrane
ENSG00000026508.12	CD44	-0.841956376347806	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000027697.8	IFNGR1	-1.28634279045258	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000027847.9	B4GALT7	-0.309220705983951	unchanged_tumor	membrane	membrane_tc<1.66
ENSG00000028203.13	VEZT	-0.215519597594026	not_quantified	membrane	nontarget_membrane
ENSG00000029364.7	SLC39A9	-0.719411488996577	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000030582.12	GRN	-1.42683936109105	down_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000033011.7	ALG1	-0.216940807364964	unchanged_tumor	membrane	membrane_tc>1.66 & tc<5.56
ENSG00000033100.10	CHPF2	-0.837506193962344	not_quantified	membrane	nontarget_membrane
ENSG00000033170.12	FUT8	1.02720504279551	up_tumor	membrane	nontarget_membrane
ENSG00000033627.10	ATP6V0A1	-0.140045306227935	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000035862.8	TIMP2	-0.284323107587136	not_quantified	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000037749.7	MFAP3	-0.508860121046381	not_quantified	membrane	nontarget_membrane
ENSG00000038002.4	AGA	-0.661215564760939	not_quantified	membrane	membrane_tc<1.66
ENSG00000040487.8	PQLC2	0.311937353848671	unchanged_tumor	membrane	nontarget_membrane
ENSG00000042445.9	RETSAT	-0.524293056155956	unchanged_tumor	membrane	membrane_tc>5.56 & tc<65.26
ENSG00000044574.7	HSPA5	-0.679404545387529	not_quantified	membrane	membrane_tc>1.66 & tc<5.56
