gene_id	Symbol	gene_biotype	localization	tpm_wt	log2FoldChange.mem.wt.vs.cyt.wt	padj.mem.wt.vs.cyt.wt
ENSG00000000003.10	TSPAN6	protein_coding	membrane	44.415	2.65921943692585	1.24432377050082e-95
ENSG00000000419.8	DPM1	protein_coding	cytosolic	109.205	-0.57573406823905	6.35909011092559e-06
ENSG00000000457.9	SCYL3	protein_coding	cytosolic	4.22	-0.127411794524332	0.803352555617272
ENSG00000000460.12	C1orf112	protein_coding	cytosolic	21.49	0.316731718809972	0.106898852977871
ENSG00000001036.9	FUCA2	protein_coding	membrane	57.255	3.88446267811343	1.2743211754315e-99
ENSG00000001084.6	GCLC	protein_coding	cytosolic	21.155	-0.27213089020564	0.087028999167098
ENSG00000001167.10	NFYA	protein_coding	cytosolic	23.72	-0.462132234527116	0.00351737105153891
ENSG00000001460.13	STPG1	protein_coding	cytosolic	12.045	-0.0931356005061288	0.810143763685843
ENSG00000001461.12	NIPAL3	protein_coding	membrane	23.275	1.72011825347012	6.06409941963481e-32
ENSG00000001497.12	LAS1L	protein_coding	cytosolic	62.145	-0.751114134864853	2.62473268072084e-06
ENSG00000001561.6	ENPP4	protein_coding	membrane	9.415	3.31077848103507	2.95361171205339e-69
ENSG00000001617.7	SEMA3F	protein_coding	membrane	3.815	3.31626108220194	6.80873012886153e-05
ENSG00000001629.5	ANKIB1	protein_coding	cytosolic	7.56	0.366377472398027	0.133172934069808
ENSG00000001630.11	CYP51A1	protein_coding	membrane	30.945	2.66383412513019	2.09564516764416e-64
ENSG00000001631.10	KRIT1	protein_coding	cytosolic	13.595	-0.721830185506236	4.60402291266085e-05
ENSG00000002016.12	RAD52	protein_coding	cytosolic	12.59	0.361836598258311	0.277010967681705
ENSG00000002330.9	BAD	protein_coding	cytosolic	60.34	-0.226264513394742	0.501520090174428
ENSG00000002549.8	LAP3	protein_coding	cytosolic	32.44	-0.86000280048648	7.70120217231031e-06
ENSG00000002586.13	CD99	protein_coding	membrane	71.66	3.25229362355819	8.91342968074523e-82
ENSG00000002745.8	WNT16	protein_coding	NA	1.32	1.37602256410223	0.192120326022746
ENSG00000002822.11	MAD1L1	protein_coding	cytosolic	12.31	-0.530180303044252	0.269237744783
ENSG00000002834.13	LASP1	protein_coding	cytosolic	27.79	-0.536212158296548	0.0124513558467663
ENSG00000002919.10	SNX11	protein_coding	cytosolic	23.805	-0.0621468394057587	0.849401228690266
ENSG00000003056.3	M6PR	protein_coding	membrane	70.34	3.36284154113606	6.63654158386388e-94
ENSG00000003096.9	KLHL13	protein_coding	cytosolic	8.63	-0.785151377000978	0.0107176833218917
ENSG00000003137.4	CYP26B1	protein_coding	cytosolic	2.245	0.358171586039007	0.817626717536536
ENSG00000003147.13	ICA1	protein_coding	cytosolic	3.965	-0.281266045792427	0.72623653513924
ENSG00000003249.9	DBNDD1	protein_coding	cytosolic	27.66	-0.183662080755664	0.687676372600411
ENSG00000003393.10	ALS2	protein_coding	cytosolic	11.115	-0.412202211233055	0.0897579515435861
ENSG00000003400.10	CASP10	protein_coding	cytosolic	1.375	-0.283677286268323	0.739966930913581
ENSG00000003402.15	CFLAR	protein_coding	cytosolic	10.28	0.267835725127567	0.209298286077553
ENSG00000003436.10	TFPI	protein_coding	membrane	6.625	2.52114491798799	6.84380657165531e-12
