Majority.protein.IDs	Gene.names	Razor.unique.peptides	lfq.hdlbp1.dox1	lfq.ctrl2.nodox2	lfq.hdlbp2.dox2	lfq.ctrl3.nodox3	lfq.hdlbp3.dox3	enrichment1	enrichment2	enrichment3	enriched.yes.no	mean_enrichment	mean_lfq
Q00341	HDLBP	103	1.6525e+12	1.4897e+11	1.3121e+12	3.1324e+10	5.3025e+11	11.0928374840572	8.80781365375579	16.9279146979951	enr	12.276188611936	1.16495e+12
P11498	PC	63	2.5139e+11	3.5843e+11	1.6941e+11	1.4398e+11	8.7395e+10	0.701364283123622	0.472644588901599	0.606994026948187	NA	0.593667632991136	169398333333.333
P49327	FASN	109	1.4276e+11	8401400000	1.2876e+11	2654500000	6.5218e+10	16.9924060275668	15.3260170923894	24.568845356941	enr	18.9624228256324	1.12246e+11
Q13085-4;Q13085-2	ACACA	130	1.596e+11	2.314e+11	8.0265e+10	1.1152e+11	2.699e+10	0.68971477960242	0.346866897147796	0.242019368723099	NA	0.426200348491105	88951666666.6667
P05165;P05165-2;P05165-3	PCCA	46	1.4242e+11	1.3212e+11	6.0606e+10	4.827e+10	1.5604e+10	1.07795943082047	0.458719346049046	0.323264967888958	NA	0.619981248252824	72876666666.6667
P21333-2;P21333	FLNA	112	7.8797e+10	6786900000	7.0308e+10	2229300000	2.8364e+10	11.6101607508583	10.3593687839809	12.7232763647782	enr	11.5642686332058	59156333333.3333
Q9BQE3;P68363;P68366;Q9NY65-2;Q9NY65	TUBA1C;TUBA1B;TUBA4A;TUBA8	23	6.3664e+10	2.5481e+10	5.2289e+10	1.1302e+10	3.0783e+10	2.49848907028767	2.05207801891606	2.72367722526986	NA	2.42474810482453	4.8912e+10
P08107;P08107-2	HSPA1A	28	6.3262e+10	1.5016e+10	5.3089e+10	7856200000	2.8079e+10	4.21297282898242	3.53549547149707	3.57411980346733	enr	3.77419603464894	48143333333.3333
P11142;P11142-2	HSPA8	39	6.1131e+10	1.3362e+10	5.1736e+10	6929300000	2.6006e+10	4.57498877413561	3.87187546774435	3.75304864849263	enr	4.0666376301242	4.6291e+10
P05166;P05166-2	PCCB	25	8.2593e+10	8.4451e+10	3.5182e+10	3.188e+10	7469200000	0.977999076387491	0.416596606316089	0.234291091593476	NA	0.542962258099018	41748066666.6667
Q9HCC0;Q9HCC0-2	MCCC2	31	7.0595e+10	8.0552e+10	2.9998e+10	3.3979e+10	1.0156e+10	0.876390406197239	0.372405402721224	0.298890491185732	NA	0.515895433368065	36916333333.3333
P68104;Q5VTE0	EEF1A1;EEF1A1P5	17	3.7505e+10	1.9247e+10	4.1256e+10	5357900000	1.9484e+10	1.94861536862888	2.14350288356627	3.63649937475503	NA	2.57620587565006	32748333333.3333
P07437	TUBB	21	4.1271e+10	1.5843e+10	3.3156e+10	8886200000	1.8077e+10	2.60499905320962	2.09278545729975	2.03427786905539	NA	2.24402079318825	30834666666.6667
Q96RQ3	MCCC1	31	5.7601e+10	8.7533e+10	2.6243e+10	1.4618e+10	6520500000	0.658048964390573	0.299806929957844	0.44605965248324	NA	0.467971848943886	30121500000
P50990	CCT8	32	2.4847e+10	1290900000	2.861e+10	280480000	1.3716e+10	19.2478116043071	22.1628321326207	48.9018824871649	enr	30.1041754080309	2.2391e+10
P49959;P49959-2	MRE11A	35	3.0447e+10	8.764e+09	2.7904e+10	2.37e+09	7.817e+09	3.47409858512095	3.18393427658603	3.29831223628692	enr	3.3187816993313	2.2056e+10
Q8NC51;Q8NC51-3;Q8NC51-2;Q8NC51-4	SERBP1	33	2.1905e+10	573570000	2.8604e+10	78311000	1.2521e+10	38.1906306117823	49.8701117561937	159.888138320287	enr	82.6496268960877	2.101e+10
Q9ULH7-4;Q9ULH7	MKL2	43	3.3399e+10	1070400000	1.8969e+10	207880000	5773900000	31.2023542600897	17.7214125560538	27.7751587454301	enr	25.5663085205245	19380633333.3333
O75534-2;O75534;O75534-3	CSDE1	38	2.167e+10	541720000	2.2928e+10	37317000	8033900000	40.0022151665067	42.3244480543454	215.287938473082	enr	99.2048672313114	17543966666.6667
P12236	SLC25A6	17	2.5627e+10	8601100000	1.9039e+10	1915500000	7938800000	2.97950262175768	2.21355408029206	4.14450535108327	NA	3.11252068437767	17534933333.3333
P23396	RPS3	18	2.2031e+10	1.0149e+10	1.9056e+10	2774700000	9189400000	2.17075573948172	1.87762341117351	3.31185353371536	NA	2.4534108947902	16758800000
Q9BR76	CORO1B	17	1.5788e+10	157360000	2.1102e+10	15425000	1.2106e+10	100.330452465684	134.100152516523	784.82982171799	enr	339.753475566732	1.6332e+10
P62826	RAN	14	1.9994e+10	9131700000	1.6826e+10	4469300000	8691700000	2.18951564330848	1.84259228840194	1.94475644955586	NA	1.99228812708876	15170566666.6667
Q71DI3	HIST2H3A	7	1.9133e+10	1.8327e+10	2.0381e+10	5608900000	5988900000	1.04397882905004	1.11207508048235	1.06774946959297	NA	1.07460112637512	15167633333.3333
P60842;P60842-2	EIF4A1	27	1.7712e+10	8302400000	1.9367e+10	2490200000	7483500000	2.13335902871459	2.3326989786086	3.00518030680267	NA	2.49041277137528	14854166666.6667
P25705;P25705-2	ATP5A1	30	2.0668e+10	8357600000	1.5025e+10	2525700000	5970800000	2.47295874413707	1.7977649085862	2.36401789602882	NA	2.2115805162507	13887933333.3333
Q14247;Q14247-3;Q14247-2	CTTN	25	1.4565e+10	601140000	1.7336e+10	131560000	8181100000	24.2289649665635	28.8385401071298	62.1853146853147	enr	38.417606586336	13360700000
Q6PKG0;Q6PKG0-3	LARP1	55	1.5329e+10	503670000	1.2765e+10	188330000	6679200000	30.4346099628725	25.3439752218715	35.4654064673711	enr	30.4146638840384	11591066666.6667
P46781	RPS9	17	1.3841e+10	7.205e+09	1.3974e+10	2446700000	3904900000	1.92102706453852	1.93948646773074	1.59598643070258	NA	1.81883332099061	10573300000
P15880	RPS2	13	1.3412e+10	5356400000	1.1311e+10	1534200000	5.908e+09	2.50392054364872	2.11167948622209	3.85086690131665	NA	2.82215564372915	10210333333.3333
Q99623;Q99623-2	PHB2	18	1.4845e+10	5720800000	1.0564e+10	3103900000	4409300000	2.59491679485387	1.84659488183471	1.42056767292761	NA	1.95402644987206	9939433333.33333
Q9Y3F4	STRAP	17	1.171e+10	552500000	1.1567e+10	132760000	6090900000	21.1945701357466	20.9357466063348	45.8790298282615	enr	29.336448856781	9789300000
P06733;P06733-2	ENO1	19	1.1688e+10	8373600000	1.2054e+10	2398200000	4169200000	1.39581541989109	1.43952421897392	1.73847051955633	NA	1.52460338614045	9303733333.33333
P11021	HSPA5	29	1.2782e+10	1355500000	9.206e+09	626280000	4974600000	9.42973072666913	6.79158981925489	7.94309254646484	enr	8.05480436412962	8987533333.33333
Q08211	DHX9	52	1.1683e+10	5543900000	9592200000	2104800000	4436200000	2.10736124388968	1.73022601417775	2.10765868491068	NA	1.98174864765937	8570466666.66667
Q9UBF2	COPG2	32	1.1613e+10	245650000	1.1341e+10	40095000	2548300000	47.2745776511297	46.1673112151435	63.5565531861828	enr	52.3328140174853	8500766666.66667
Q02543	RPL18A	6	1.1768e+10	6522600000	1.0167e+10	3087600000	3331400000	1.80418851378285	1.55873424707939	1.07896100531157	NA	1.48062792205793	8422133333.33333
Q9P2R3;Q9P2R3-2;Q9P2R3-4	ANKFY1	7	1.2413e+10	0	1.2653e+10	0	0	NA	NA	NA	NA	NA	8355333333.33333
Q02878	RPL6	19	9758500000	7004700000	1.1039e+10	3079700000	3.981e+09	1.39313603723214	1.57594186760318	1.29265837581583	NA	1.42057876021705	8259500000
Q14157-4;Q14157-1	UBAP2L	27	8918400000	298520000	9800500000	100630000	6038200000	29.8753852338202	32.8302961275626	60.0039749577661	enr	40.9032187730496	8252366666.66667
P62805	HIST1H4A	12	9169400000	1.0111e+10	1.0627e+10	2725400000	4.638e+09	0.906873701908812	1.05103352784097	1.70176854773611	NA	1.21989192582863	8144800000
P78527;P78527-2	PRKDC	142	1.2152e+10	3721300000	8135900000	1289300000	3883400000	3.26552548840459	2.18630586085508	3.01202202745676	NA	2.82128445890548	8057100000
P38646	HSPA9	34	1.1483e+10	1.866e+09	7856100000	1300200000	3.731e+09	6.15380493033226	4.21012861736334	2.86955852945701	NA	4.41116402571754	7690033333.33333
Q8WWM7;Q8WWM7-6;Q8WWM7-8;Q8WWM7-5;Q8WWM7-4;Q8WWM7-2;Q8WWM7-3;Q8WWM7-7	ATXN2L	38	1.0335e+10	486510000	8940800000	73176000	2837600000	21.2431399149041	18.3774228690058	38.7777413359571	enr	26.1327680399557	7371133333.33333
P08670	VIM	41	1.1537e+10	5479600000	7440900000	1180900000	2920800000	2.10544565296737	1.35792758595518	2.47336777034465	NA	1.97891366975573	7299566666.66667
Q6Y7W6;Q6Y7W6-4;Q6Y7W6-3	GIGYF2	46	1.2047e+10	192280000	7814200000	60397000	1795800000	62.6534220927814	40.6396921156647	29.7332648972631	enr	44.3421263685697	7.219e+09
P62241	RPS8	9	8731900000	4052400000	7427300000	2.028e+09	5204600000	2.15474780377061	1.83281512190307	2.5663708086785	NA	2.18464457811739	7121266666.66667
P40227;P40227-2	CCT6A	26	9642100000	4190200000	9468700000	933450000	2178700000	2.30110734571142	2.25972507278889	2.33402967486207	NA	2.29828736445413	7096500000
Q99880;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;P57053;O60814;Q5QNW6-2;Q96A08	HIST1H2BL;HIST1H2BM;HIST1H2BN;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK;HIST1H2BA	7	8646700000	8.352e+09	9227300000	2563700000	3158300000	1.03528496168582	1.10480124521073	1.23193041307485	NA	1.12400553999047	7010766666.66667
O00571;O00571-2;O15523	DDX3X;DDX3Y	35	7443700000	4869700000	8829700000	1608500000	3616300000	1.52857465552293	1.81319177772758	2.24824370531551	NA	1.86333671285534	6629900000
Q04637-3;Q04637;Q04637-6	EIF4G1	51	9303700000	650450000	8222800000	0	2.233e+09	14.3034822046276	12.6417095856715	NA	enr	NA	6586500000
P32969	RPL9	9	8689700000	3065600000	7878200000	595160000	3087600000	2.83458376826722	2.56987212943633	5.18784864574232	NA	3.53076818114862	6551833333.33333
P08238	HSP90AB1	38	7.76e+09	5030200000	9087300000	1.561e+09	2542300000	1.54268219951493	1.80654844737784	1.62863549007047	NA	1.65928871232108	6463200000
Q7Z417	NUFIP2	24	8942800000	310710000	6971300000	81373000	3068400000	28.7818222780084	22.4366772875028	37.7078392095658	enr	29.6421129250257	6327500000
P17987	TCP1	26	8922200000	3303600000	6526400000	1710700000	2946200000	2.7007506962102	1.97554183315171	1.72221897468872	NA	2.13283716801688	6131600000
Q9Y5K6	CD2AP	31	7627900000	101260000	7817300000	0	2.93e+09	75.3298439660281	77.2002765158997	NA	enr	NA	6125066666.66667
P62913	RPL11	11	8.614e+09	4163800000	6834200000	1663800000	2707700000	2.06878332292617	1.64133724002113	1.62741916095685	NA	1.77917990796805	6051966666.66667
P10412	HIST1H1E	10	6216700000	6494400000	5006300000	2386300000	6389700000	0.957240083764474	0.770864129095836	2.67765997569459	NA	1.46858806285163	5870900000
P23588	EIF4B	27	6428400000	162420000	8379100000	0	2789900000	39.5788695973402	51.5890900135451	NA	enr	NA	5865800000
Q9NR30;Q9NR30-2	DDX21	36	7823600000	2798400000	6144400000	924320000	2968800000	2.79574042309891	2.19568324757004	3.21187467543708	NA	2.73443278203534	5645600000
P39023	RPL3	20	7321400000	5657800000	7371100000	1478300000	2109700000	1.2940365513097	1.30282088444272	1.42711222349997	NA	1.34132321975079	5600733333.33333
Q09666	AHNAK	174	9765400000	227120000	5.378e+09	0	1.636e+09	42.9966537513209	23.6791123635083	NA	enr	NA	5593133333.33333
P62899;P62899-3;P62899-2	RPL31	8	7333800000	2997100000	7434400000	236380000	1828200000	2.44696539988656	2.4805311801408	7.73415686606312	NA	4.22055114869683	5532133333.33333
P04637-4;P04637;P04637-7;P04637-5;P04637-6;P04637-2;P04637-3;P04637-8;P04637-9	TP53	19	1.0579e+10	2.7779e+10	5509400000	7449900000	214670000	0.380827243601282	0.198329673494366	0.0288151518812333	NA	0.202657356325627	5434356666.66667
P05141	SLC25A5	6	7.85e+09	2934500000	6084900000	908730000	2255600000	2.67507241438064	2.07357301073437	2.48214541172846	NA	2.41026361228116	5396833333.33333
P62424	RPL7A	14	6488900000	3739500000	7079900000	903110000	2503900000	1.73523198288541	1.89327450193876	2.77253047801486	NA	2.13367898761301	5357566666.66667
P35908	KRT2	43	5048400000	1.0856e+10	6.505e+09	1.071e+09	4518200000	0.465033161385409	0.599207811348563	4.2186741363212	NA	1.76097170301839	5357200000
Q15233;Q15233-2	NONO	24	6561400000	5057400000	5720100000	3013400000	2795600000	1.29738600862103	1.13103571004864	0.92772283799031	NA	1.11871485221999	5025700000
