Symbol	gene_id	localization	tarsig	Majority.protein.IDs	iBAQ.L.Memb_4h_Forward_1	iBAQ.M.Memb_4h_Forward_1	iBAQ.H.Memb_4h_Forward_1	iBAQ.L.Memb_4h_Forward_2	iBAQ.M.Memb_4h_Forward_2	iBAQ.H.Memb_4h_Forward_2	iBAQ.L.Memb_4h_Reverse_1	iBAQ.M.Memb_4h_Reverse_1	iBAQ.H.Memb_4h_Reverse_1	iBAQ.L.Memb_4h_Reverse_2	iBAQ.M.Memb_4h_Reverse_2	iBAQ.H.Memb_4h_Reverse_2	Ratio.H.M.normalized.Memb_4h_Forward_1	Ratio.H.M.normalized.Memb_4h_Forward_2	Ratio.H.M.normalized.Memb_4h_Reverse_1	Ratio.H.M.normalized.Memb_4h_Reverse_2	mean.Ratio.H.M.normalized.Memb_4h	hdlbp.target.yes.no
AAAS	ENSG00000094914.8	cytosolic	cyt_notsig	Q9NRG9	26.0472261123541	23.8724870171229	23.70598667343	26.0875201406851	24.3731184453466	24.0482660125252	25.672307282854	23.5382476737458	23.7956061025435	25.4630124153042	23.4465744857579	23.5386029152728	0.0220481651801732	0.0533894195446349	-0.246104009883917	-0.18840092460321	-0.0897668374405796	target
AACS	ENSG00000081760.12	cytosolic	cyt_notsig	Q86V21	22.1294968492392	20.0577485181474	19.5575684056749	18.6676451895131	15.1121951271687	15.4016128687856	23.1545122009517	20.0044289712554	20.7744267525802	NA	NA	NA	NA	NA	-0.0913951860117	NA	NA	nontarget
AADAT	ENSG00000109576.9	cytosolic	MitoCarta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAGAB	ENSG00000103591.8	cytosolic	cyt_notsig	Q6PD74	22.9420619885726	20.1749939312194	19.8510993457115	NA	NA	NA	25.0095378609914	23.0153606018181	21.8876624041193	NA	NA	NA	NA	NA	0.615375440717838	NA	NA	nontarget
AAK1	ENSG00000115977.14	cytosolic	cyt_notsig	A0A096LP25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAMDC	ENSG00000087884.10	cytosolic	cyt_notsig	Q9H7C9	22.6850233519056	19.6127389391175	20.5335502691568	17.6282034377838	17.7835354350011	21.1925577081102	24.0247906798632	21.2196908468609	21.6728845367517	NA	NA	23.3745120651729	1.005687420137	NA	NA	NA	NA	nontarget
AAMP	ENSG00000127837.5	cytosolic	cyt_notsig	C9JG97	23.365195736409	21.6348021892522	20.7015095297387	20.7679775016039	20.2103859723989	20.2981565647184	24.9547351922637	22.5863477862837	22.6567425686915	16.7745554439893	14.1126024035288	14.5611685908698	-0.00875481509815059	0.0357646536009747	-0.0489336451979224	NA	NA	target
AAR2	ENSG00000131043.7	cytosolic	cyt_notsig	Q9Y312	24.4919778356863	22.6659855569357	22.0997612971452	24.4828384772551	22.0281340446725	22.3701009629229	24.5525068137105	22.5782611928032	21.3735831348841	23.9227048893832	21.3942491484183	21.7340513304069	-0.292970033216479	NA	0.553256777290794	NA	NA	target
AARD	ENSG00000205002.3	cytosolic	cyt_notsig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AARS	ENSG00000090861.11	cytosolic	cyt_notsig	P49588	25.52169148704	22.6018650734317	22.2412977421286	18.7983578836395	13.8064489278634	15.7000603539164	26.6986936465932	23.6722803027233	23.2081247877102	15.6357464570861	NA	NA	-0.106591188803047	NA	-0.0260209707143701	NA	NA	target
AARS2	ENSG00000124608.4	cytosolic	MitoCarta	Q5JTZ9	25.7578882410192	23.3251220581853	23.715548983008	25.8047665721425	23.6218739103316	24.6712006835448	25.6304537786893	23.5660456740724	23.4401239908945	25.4936888554618	22.9268359892284	24.1306126652623	0.467175122614019	-0.390131593136656	0.365555422763289	0.0292493989858141	0.117962087806617	nontarget
AARSD1	ENSG00000266967.2	cytosolic	cyt_notsig	Q9BTE6	21.6115777945524	18.4047840033946	19.1076870520973	NA	NA	NA	23.2776744785127	20.8777005212349	21.0747660451	NA	NA	NA	0.232660756790275	NA	NA	NA	NA	nontarget
AASDH	ENSG00000157426.9	cytosolic	cyt_notsig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AASDHPPT	ENSG00000149313.6	cytosolic	cyt_notsig	Q9NRN7	25.6260866503597	22.594571547206	23.7814677771213	23.7412916884621	22.0331850314427	22.6869689385534	26.320773973754	23.080193607988	24.3166544228719	20.7850053882122	17.7122986058006	16.9204459055	-0.0377841587252563	0.487897901210089	0.0628665656284923	NA	NA	target
AASS	ENSG00000008311.10	cytosolic	MitoCarta	Q9UDR5	26.4096829128981	24.5073044479538	25.4639478736815	26.1831929937953	24.8308892355812	24.49673920978	26.0200706252701	24.8781590826536	23.2691369545884	25.7163342656406	23.486280198334	23.5468671484163	0.0908534304511135	0.0560285389227513	0.442790893835008	0.19502129760719	0.196173540204016	nontarget
AATF	ENSG00000108270.6	cytosolic	cyt_notsig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	target
ABAT	ENSG00000183044.7	cytosolic	MitoCarta	H3BRN4	24.9036638055254	22.6144115040972	23.8886473882442	24.767341092022	22.7701170108497	22.4355787061407	24.8163618318677	22.2189522077839	22.060257898171	24.0706287078807	22.1864951315665	21.8998436795629	-0.245557130151555	0.304160547001356	0.521224880702188	0.507828904612809	0.2719143005412	NA
ABC7-42389800N19.1	ENSG00000226210.3	cytosolic	cyt_notsig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nontarget
ABCA11P	ENSG00000251595.3	cytosolic	cyt_notsig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA17P	ENSG00000238098.4	cytosolic	cyt_notsig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA2	ENSG00000107331.12	membrane	mem_notsig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	target
ABCA3	ENSG00000167972.9	membrane	TMhelix-only	H0Y3H2	19.1836935284786	17.2679205192841	17.2129522850369	19.2773509743823	17.5603328342124	19.4501238505049	18.85312676996	16.3148841283813	15.5724633890837	16.4711194919867	13.6821167649501	13.4391815770525	NA	1.19149948403594	NA	NA	NA	target
ABCA7	ENSG00000064687.8	membrane	TMhelix-only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB1	ENSG00000085563.10	membrane	TMhelix-only	P08183	22.2691084115216	21.7372324865519	21.2056811071079	23.067382495114	22.8325609285649	23.1345974064961	22.519845458552	21.0701864723782	22.9267998028898	22.4931635438448	22.4892727319659	22.7314226215615	NA	0.288890061222083	NA	-0.28522464546786	NA	target
