gene_id	Symbol	log2FoldChange.mem.cyt.293	localization_cat	tsig_new
ENSG00000000003.10	TSPAN6	2.64769018269492	membrane	TMhelix-only
ENSG00000000419.8	DPM1	-0.57362347038803	cytosolic	cyt_notsig
ENSG00000000460.12	C1orf112	0.314654124111988	cytosolic	cyt_notsig
ENSG00000001036.9	FUCA2	3.85106260168681	membrane	SignalP-noTM-only
ENSG00000001084.6	GCLC	-0.270960940054301	cytosolic	cyt_notsig
ENSG00000001167.10	NFYA	-0.459776801777539	cytosolic	cyt_notsig
ENSG00000001460.13	STPG1	-0.0921049206228448	cytosolic	cyt_notsig
ENSG00000001461.12	NIPAL3	1.7108016919829	membrane	TMhelix-only
ENSG00000001497.12	LAS1L	-0.746761791204751	cytosolic	cyt_notsig
ENSG00000001630.11	CYP51A1	2.64682613591231	membrane	SignalP-TM
ENSG00000001631.10	KRIT1	-0.716815877076965	cytosolic	cyt_notsig
ENSG00000002016.12	RAD52	0.356100801407026	cytosolic	cyt_notsig
ENSG00000002330.9	BAD	-0.223408761709713	cytosolic	MitoCarta
ENSG00000002549.8	LAP3	-0.852886083640051	cytosolic	MitoCarta
ENSG00000002586.13	CD99	3.22697676115021	membrane	SignalP-TM
ENSG00000002822.11	MAD1L1	-0.513431882335052	cytosolic	cyt_notsig
ENSG00000002834.13	LASP1	-0.531434609263179	cytosolic	cyt_notsig
ENSG00000002919.10	SNX11	-0.0617105059687251	cytosolic	cyt_notsig
ENSG00000003056.3	M6PR	3.33865708461443	membrane	SignalP-TM
ENSG00000003249.9	DBNDD1	-0.180260561270047	cytosolic	cyt_notsig
ENSG00000003393.10	ALS2	-0.408085330610068	cytosolic	cyt_notsig
ENSG00000003402.15	CFLAR	0.266018290913093	cytosolic	cyt_notsig
ENSG00000003509.11	NDUFAF7	-0.444932077136999	cytosolic	MitoCarta
ENSG00000003989.12	SLC7A2	3.08930097971992	membrane	TMhelix-only
ENSG00000004059.6	ARF5	0.336490957334459	cytosolic	MitoCarta
ENSG00000004139.9	SARM1	0.24260716660524	cytosolic	cyt_notsig
ENSG00000004142.7	POLDIP2	-0.000201978804736205	cytosolic	MitoCarta
ENSG00000004399.8	PLXND1	1.87487538194939	membrane	SignalP-TM
ENSG00000004455.12	AK2	-0.391685201556621	cytosolic	MitoCarta
ENSG00000004478.5	FKBP4	-0.759647975410622	cytosolic	cyt_notsig
ENSG00000004487.11	KDM1A	-0.768216338883247	cytosolic	cyt_notsig
ENSG00000004534.10	RBM6	-0.503460789571472	cytosolic	cyt_notsig
ENSG00000004660.10	CAMKK1	-0.143674767819975	cytosolic	cyt_notsig
ENSG00000004700.11	RECQL	-1.58572820225123	cytosolic	cyt_notsig
ENSG00000004779.5	NDUFAB1	-0.28410871530406	cytosolic	MitoCarta
ENSG00000004864.9	SLC25A13	-0.645890418005094	cytosolic	MitoCarta
ENSG00000004866.14	ST7	1.52282880021902	membrane	TMhelix-only
ENSG00000004897.7	CDC27	-0.814191186545348	cytosolic	cyt_notsig
ENSG00000004975.7	DVL2	-0.641267228550053	cytosolic	cyt_notsig
ENSG00000005007.8	UPF1	-1.05537105148914	cytosolic	cyt_notsig
ENSG00000005020.8	SKAP2	-0.927664444869186	cytosolic	cyt_notsig
ENSG00000005022.5	SLC25A5	-0.234101067722264	cytosolic	TMhelix-only
ENSG00000005059.11	CCDC109B	0.0774193155250149	cytosolic	TMhelix-only
ENSG00000005073.5	HOXA11	-0.296965388169279	cytosolic	cyt_notsig
ENSG00000005075.11	POLR2J	-0.0426351836155368	cytosolic	cyt_notsig
ENSG00000005100.8	DHX33	-0.340302490900204	cytosolic	cyt_notsig
ENSG00000005156.7	LIG3	-1.03736451606678	cytosolic	cyt_notsig
ENSG00000005175.5	RPAP3	-1.30613729014372	cytosolic	cyt_notsig
ENSG00000005189.15	AC004381.6	-0.41252494172419	cytosolic	cyt_notsig
ENSG00000005194.10	CIAPIN1	-0.40221361525438	cytosolic	cyt_notsig
ENSG00000005249.8	PRKAR2B	-0.378017222724471	cytosolic	cyt_notsig
ENSG00000005302.13	MSL3	-0.201445073200817	cytosolic	cyt_notsig
ENSG00000005339.8	CREBBP	0.184296622297036	cytosolic	cyt_notsig
ENSG00000005436.9	GCFC2	-0.409176268312454	cytosolic	cyt_notsig
ENSG00000005448.12	WDR54	0.276369193509526	cytosolic	cyt_notsig
ENSG00000005486.12	RHBDD2	2.63409145539233	membrane	TMhelix-only
ENSG00000005700.10	IBTK	-0.712104883875817	cytosolic	cyt_notsig
ENSG00000005801.12	ZNF195	-0.281304761543098	cytosolic	cyt_notsig
ENSG00000005810.13	MYCBP2	-0.710397276021777	cytosolic	cyt_notsig
ENSG00000005812.6	FBXL3	-0.273026452319432	cytosolic	cyt_notsig
ENSG00000005882.7	PDK2	-0.0043704758260183	cytosolic	MitoCarta
ENSG00000005893.11	LAMP2	4.25032048614709	membrane	TailAnchored
ENSG00000005955.8	GGNBP2	-0.800189935900596	cytosolic	cyt_notsig
ENSG00000006015.13	C19orf60	0.349291640354288	cytosolic	cyt_notsig
ENSG00000006042.7	TMEM98	2.00500140859891	membrane	TMhelix-only
ENSG00000006118.10	TMEM132A	3.34966432882618	membrane	SignalP-TM
ENSG00000006125.12	AP2B1	-0.55020187401858	cytosolic	cyt_notsig
ENSG00000006194.6	ZNF263	-0.0285220165280675	cytosolic	cyt_notsig
ENSG00000006282.15	SPATA20	0.389656031704939	cytosolic	MitoCarta
ENSG00000006327.9	TNFRSF12A	2.03350302387791	membrane	SignalP-TM
ENSG00000006451.3	RALA	-0.399817147330628	cytosolic	cyt_notsig
ENSG00000006453.9	BAIAP2L1	-0.163091136026331	cytosolic	cyt_notsig
ENSG00000006530.11	AGK	-0.193055373373562	cytosolic	MitoCarta
ENSG00000006576.12	PHTF2	2.71108446108701	membrane	TMhelix-only
ENSG00000006607.9	FARP2	-0.440861800796185	cytosolic	cyt_notsig
ENSG00000006625.13	GGCT	-0.6209190717819	cytosolic	cyt_notsig
ENSG00000006634.3	DBF4	-0.270097838256829	cytosolic	cyt_notsig
ENSG00000006652.9	IFRD1	-0.167857530160813	cytosolic	cyt_notsig
ENSG00000006695.6	COX10	0.159819835648315	cytosolic	TMhelix-only
ENSG00000006704.6	GTF2IRD1	0.374989852524748	cytosolic	cyt_notsig
ENSG00000006712.10	PAF1	-0.794095300416138	cytosolic	cyt_notsig
ENSG00000006715.11	VPS41	-0.866656719459684	cytosolic	cyt_notsig
ENSG00000006744.14	ELAC2	-0.748876158645378	cytosolic	MitoCarta
ENSG00000006831.9	ADIPOR2	1.55502720922301	membrane	TMhelix-only
ENSG00000007047.10	MARK4	0.043328831759414	cytosolic	cyt_notsig
ENSG00000007080.6	CCDC124	-0.494526452534399	cytosolic	cyt_notsig
ENSG00000007168.8	PAFAH1B1	-0.716813909632341	cytosolic	cyt_notsig
ENSG00000007202.10	KIAA0100	1.40383722894038	NA	MitoCarta
ENSG00000007255.6	TRAPPC6A	-0.349708148159732	cytosolic	cyt_notsig
ENSG00000007264.9	MATK	-0.141083894228779	cytosolic	cyt_notsig
ENSG00000007341.14	ST7L	2.39581372322363	membrane	mem_notsig
ENSG00000007372.16	PAX6	-0.253626925676198	cytosolic	cyt_notsig
ENSG00000007376.3	RPUSD1	0.257282293614899	cytosolic	cyt_notsig
ENSG00000007392.12	LUC7L	-0.43485958137479	cytosolic	cyt_notsig
ENSG00000007520.3	TSR3	-0.0780438359136943	cytosolic	cyt_notsig
ENSG00000007541.10	PIGQ	2.07404286285691	membrane	TMhelix-only
ENSG00000007545.11	CRAMP1L	0.168163699377983	cytosolic	cyt_notsig
ENSG00000007923.11	DNAJC11	-0.598233239479611	cytosolic	MitoCarta
ENSG00000007944.10	MYLIP	-0.0410483419217256	cytosolic	cyt_notsig
ENSG00000007968.6	E2F2	0.32313906912385	cytosolic	cyt_notsig
ENSG00000008018.8	PSMB1	-0.60856664243338	cytosolic	cyt_notsig
ENSG00000008128.18	CDK11A	-0.682325737227079	cytosolic	cyt_notsig
ENSG00000008130.11	NADK	-0.00878473123303175	cytosolic	cyt_notsig
ENSG00000008282.3	SYPL1	3.64421729654782	membrane	TMhelix-only
ENSG00000008294.16	SPAG9	-0.677618297308512	cytosolic	cyt_notsig
