gene_id	Symbol	baseMean.tumor.KO.WT	log2FoldChange.tumor.KO.WT	padj.tumor.KO.WT	gene_biotype	reg_tumor	tpm.Tumor_HDLBP_KO_2	tpm.Tumor_HDLBP_KO_3	tpm.Tumor_HDLBP_KO_4	tpm.Tumor_HDLBP_KO_5	tpm.Tumor_WT_1	tpm.Tumor_WT_2	tpm.Tumor_WT_3	tpm.Tumor_WT_4	tpm.Tumor_WT_5	tpm.Tumor_WT_6	tpm.Tumor_WT_7	tpm.Tumor_WT_8
ENSG00000267697.1	LUZP6	20.0016400197846	-5.62012829711694	2.88316286136202e-07	protein_coding	down_tumor	2.45	0	0	0	18.47	20.54	55.24	45.62	29.01	44.92	44.61	44.53
ENSG00000171345.9	KRT19	1456.73137484666	-5.01221821080881	1.84309229588919e-73	protein_coding	down_tumor	8.33	6.52	8.59	5.22	290.65	288.12	302.85	261.56	276.03	177.7	264.38	266.33
ENSG00000255072.1	PIGY	8.30323086318411	-4.3169935543863	0.00528882927721872	protein_coding	down_tumor	0	0	1.18	0.97	23.3	17.46	24.05	9.39	0	6.63	13.07	0
ENSG00000053108.12	FSTL4	85.5350667762323	-3.26143159645972	1.37331503537113e-21	protein_coding	down_tumor	2.78	0.86	0.45	0.61	6.95	11.12	7.39	9.33	13.44	9.85	12.14	5.61
ENSG00000170558.4	CDH2	181.252196196264	-3.02524440350333	1.87121033720839e-10	protein_coding	down_tumor	2.52	0.65	1.19	0.42	11.09	3.77	10.85	13.09	8.05	12.73	8.08	11.56
ENSG00000106066.9	CPVL	47.9610691164444	-2.88632002463354	5.52250227337257e-11	protein_coding	down_tumor	0	2.15	0.92	4.61	11.13	3.88	9.66	7.5	6.08	9.37	7.42	8.8
ENSG00000125775.10	SDCBP2	502.10468801108	-2.8212887460794	3.31412330105339e-16	protein_coding	down_tumor	3.75	33.91	7.52	16.4	80.13	112.84	94	60.21	99.85	73.95	92.95	74.22
ENSG00000129521.9	EGLN3	902.226289203518	-2.76933194782933	1.15224429212355e-11	protein_coding	down_tumor	2.73	24.47	5.97	14.18	56.51	118.65	117.23	72.82	161.36	91.27	136.76	58.92
ENSG00000147394.14	ZNF185	501.442050781585	-2.52951074344273	6.56828680276164e-34	protein_coding	down_tumor	2.69	8.19	3.75	4.84	33.9	35.12	41.18	35.03	38.16	27.25	35.5	23.13
ENSG00000087303.12	NID2	366.393572403887	-2.5186257071635	1.13916752142306e-10	protein_coding	down_tumor	0.96	8.59	2.62	7.95	34.53	20.8	40.67	37.57	41.99	30.42	34.78	44.13
