gene_id	Symbol	Transcript.stable.ID.version	l_utr5	l_cds	l_utr3	start
ENSG00000001036.9	FUCA2	ENST00000002165.6	56	1404	896	1
ENSG00000003056.3	M6PR	ENST00000000412.3	469	834	1453	1
ENSG00000004399.8	PLXND1	ENST00000324093.4	179	5778	1137	1
ENSG00000006118.10	TMEM132A	ENST00000005286.4	153	3075	252	1
ENSG00000011201.6	KAL1	ENST00000262648.3	150	2043	4121	1
ENSG00000026508.12	CD44	ENST00000263398.6	434	1086	3069	1
ENSG00000027697.8	IFNGR1	ENST00000367739.4	122	1470	547	1
ENSG00000030582.12	GRN	ENST00000053867.3	62	1782	304	1
ENSG00000033011.7	ALG1	ENST00000262374.5	31	1395	513	1
ENSG00000038002.4	AGA	ENST00000264595.2	128	1041	938	1
ENSG00000042445.9	RETSAT	ENST00000295802.4	113	1833	1154	1
ENSG00000044574.7	HSPA5	ENST00000324460.6	204	1965	1739	1
ENSG00000046604.8	DSG2	ENST00000261590.8	209	3357	2265	1
ENSG00000049449.4	RCN1	ENST00000054950.3	293	996	1283	1
ENSG00000055211.8	GINM1	ENST00000367419.5	121	993	910	1
ENSG00000060656.15	PTPRU	ENST00000373779.3	129	4311	1139	1
ENSG00000064115.6	TM7SF3	ENST00000343028.4	226	1713	770	1
ENSG00000064545.10	TMEM161A	ENST00000162044.9	65	1440	315	1
ENSG00000064601.12	CTSA	ENST00000191018.5	85	1443	370	1
ENSG00000065320.4	NTN1	ENST00000546090.1	71	1815	4032	1
ENSG00000065923.5	SLC9A7	ENST00000328306.4	26	2178	1634	1
ENSG00000066468.16	FGFR2	ENST00000358487.5	273	2466	1516	1
ENSG00000068078.13	FGFR3	ENST00000260795.2	102	2421	1609	1
ENSG00000068912.9	ERLEC1	ENST00000185150.4	131	1452	850	1
ENSG00000070018.4	LRP6	ENST00000261349.4	77	4842	5101	1
ENSG00000070081.11	NUCB2	ENST00000323688.6	243	1263	399	1
ENSG00000070886.6	EPHA8	ENST00000538803.1	54	1488	231	1
ENSG00000071553.12	ATP6AP1	ENST00000369762.2	61	1413	625	1
ENSG00000072042.8	RDH11	ENST00000381346.4	111	957	1520	1
ENSG00000072682.14	P4HA2	ENST00000360568.3	311	1602	400	1
ENSG00000073008.10	PVR	ENST00000425690.3	299	1254	1772	1
