codon	localization	variable	value
0	sp	293_1	17.5570005941901
1	sp	293_1	4.08695984612765
2	sp	293_1	5.18846305450678
3	sp	293_1	2.2104844106156
4	sp	293_1	1.46061504442503
5	sp	293_1	2.79827029675559
6	sp	293_1	0.519275837825659
7	sp	293_1	0.415387936829952
8	sp	293_1	1.29214909512116
9	sp	293_1	0.573238712877057
10	sp	293_1	0.959420229999898
11	sp	293_1	0.386295490741274
12	sp	293_1	0.195874149556754
13	sp	293_1	0.512775849533267
14	sp	293_1	0.256536183201713
15	sp	293_1	0.3812149357032
16	sp	293_1	1.04831806265566
17	sp	293_1	1.24639609641821
18	sp	293_1	1.24236558628882
19	sp	293_1	0.846657087056304
20	sp	293_1	0.899671976183051
21	sp	293_1	0.770717372413845
22	sp	293_1	0.783137168713558
23	sp	293_1	0.833188182737943
24	sp	293_1	0.803582423721734
25	sp	293_1	0.713191871588966
26	sp	293_1	0.594119185985189
27	sp	293_1	0.869025004589605
28	sp	293_1	0.714485380219039
29	sp	293_1	0.651204882874113
30	sp	293_1	1.0961151634811
31	sp	293_1	0.703592994527698
32	sp	293_1	1.24289249490548
33	sp	293_1	1.22843008797741
34	sp	293_1	0.974520179218372
35	sp	293_1	1.43262665990874
36	sp	293_1	1.61757797286712
37	sp	293_1	1.57876008435991
38	sp	293_1	1.14652213029744
39	sp	293_1	1.1718950210238
40	sp	293_1	1.17474376240589
41	sp	293_1	1.35634586165974
42	sp	293_1	2.20758021493195
43	sp	293_1	2.09383406626889
44	sp	293_1	1.62289622090515
45	sp	293_1	1.10198797132099
46	sp	293_1	1.34000832336511
47	sp	293_1	2.97915081534423
48	sp	293_1	5.69966806786178
49	sp	293_1	2.65941927668264
50	sp	293_1	2.81955479520477
51	sp	293_1	1.45067877144139
52	sp	293_1	1.83077171351149
53	sp	293_1	1.97678708234424
54	sp	293_1	2.15597985646738
55	sp	293_1	2.41667315262649
56	sp	293_1	2.49693733246985
57	sp	293_1	3.33109912365601
58	sp	293_1	2.47767840800577
59	sp	293_1	3.65525372509881
60	sp	293_1	2.34208568889305
61	sp	293_1	2.09943390741501
62	sp	293_1	3.91240378974516
63	sp	293_1	4.34840301506752
64	sp	293_1	2.47722979560735
65	sp	293_1	2.91644785439447
66	sp	293_1	2.46986593231746
67	sp	293_1	4.9334971543221
68	sp	293_1	4.65978873240958
69	sp	293_1	2.73083280707895
70	sp	293_1	2.70896895734954
71	sp	293_1	2.88252954909383
72	sp	293_1	2.46574649326466
73	sp	293_1	2.58367527228684
74	sp	293_1	1.63159490423936
75	sp	293_1	2.56774575082868
76	sp	293_1	2.19981861881916
77	sp	293_1	2.44878977768022
78	sp	293_1	3.4788337447587
79	sp	293_1	4.37568730946775
80	sp	293_1	5.48712364003691
81	sp	293_1	2.80542330849795
82	sp	293_1	2.64808174709992
83	sp	293_1	2.89872077565724
84	sp	293_1	3.66720237772093
85	sp	293_1	3.50014866384574
86	sp	293_1	2.27855761025478
87	sp	293_1	2.50650869645733
88	sp	293_1	7.84969671530378
89	sp	293_1	3.61101218697008
90	sp	293_1	3.87847798534785
91	sp	293_1	3.36447690842142
92	sp	293_1	3.34519639757487
93	sp	293_1	3.19421587691339
94	sp	293_1	3.62522044527138
95	sp	293_1	2.19778244447808
96	sp	293_1	2.65251448388312
97	sp	293_1	2.96192682904964
98	sp	293_1	2.17318653393496
99	sp	293_1	2.87421978017134
100	sp	293_1	2.95233937258065
101	sp	293_1	6.32689964078547
102	sp	293_1	1.99715927109635
103	sp	293_1	2.5270560365917
104	sp	293_1	3.87080296019483
105	sp	293_1	3.09915765234908
106	sp	293_1	3.41008634961502
107	sp	293_1	3.31906600071123
108	sp	293_1	3.55924686180855
109	sp	293_1	2.43854818594873
110	sp	293_1	3.26567094841164
111	sp	293_1	2.29573814789471
112	sp	293_1	3.00330802704078
113	sp	293_1	3.77114058016236
114	sp	293_1	3.71508497726291
115	sp	293_1	2.02715101021353
116	sp	293_1	4.02464580318753
117	sp	293_1	2.29206313943673
118	sp	293_1	3.80819361062367
119	sp	293_1	2.12446151709196
120	sp	293_1	3.42499966742737
121	sp	293_1	2.40296499514468
122	sp	293_1	2.38310427044744
123	sp	293_1	3.65581732228357
124	sp	293_1	3.43907069184349
125	sp	293_1	2.90332657558801
126	sp	293_1	2.79881423989407
127	sp	293_1	2.53952792202171
128	sp	293_1	2.30239186044716
129	sp	293_1	2.76469687623423
130	sp	293_1	3.62270755982733
131	sp	293_1	1.85372265560769
132	sp	293_1	6.63778684877885
133	sp	293_1	1.914633716131
134	sp	293_1	3.10621532182535
135	sp	293_1	3.46344630272657
136	sp	293_1	3.74055958278475
137	sp	293_1	4.89129631069088
138	sp	293_1	2.59889632842637
139	sp	293_1	3.93512398614125
140	sp	293_1	4.36959731008949
141	sp	293_1	3.67561438854092
142	sp	293_1	4.70204189452753
143	sp	293_1	1.6922484400498
144	sp	293_1	3.01740632881982
145	sp	293_1	2.0431475404135
146	sp	293_1	1.82791438815588
147	sp	293_1	2.17847425292732
148	sp	293_1	3.14877598238682
149	sp	293_1	5.13874064206746
150	sp	293_1	5.58916547434639
151	sp	293_1	5.10290186879311
152	sp	293_1	4.25344095338031
153	sp	293_1	4.51487254041409
154	sp	293_1	2.26732599684177
155	sp	293_1	3.7801141189852
156	sp	293_1	4.21648225109791
157	sp	293_1	2.31983049759606
158	sp	293_1	1.94302490730589
159	sp	293_1	4.87940600203917
160	sp	293_1	4.3752230277762
161	sp	293_1	4.59359265373583
162	sp	293_1	5.40050783727109
163	sp	293_1	4.723181729023
164	sp	293_1	4.44047803206946
165	sp	293_1	2.34189401312902
166	sp	293_1	3.55346600702664
167	sp	293_1	3.40469256186731
168	sp	293_1	3.32633825695518
169	sp	293_1	3.52641785451569
170	sp	293_1	3.94682408817156
171	sp	293_1	3.87091076159528
172	sp	293_1	4.30036614714544
173	sp	293_1	2.9945408178649
174	sp	293_1	6.07724130571015
175	sp	293_1	4.61064193353823
176	sp	293_1	3.02428199690334
177	sp	293_1	3.02196118421372
178	sp	293_1	3.05767163885129
179	sp	293_1	3.65216142988394
180	sp	293_1	1.7721450328098
181	sp	293_1	3.08264548893157
182	sp	293_1	8.89549358561001
183	sp	293_1	6.29082074660576
184	sp	293_1	5.77568100437607
185	sp	293_1	4.07151633567486
186	sp	293_1	3.27302653776671
187	sp	293_1	4.69495504294918
188	sp	293_1	3.5115731061804
189	sp	293_1	4.53483871864717
190	sp	293_1	3.16037469496018
191	sp	293_1	3.08666110079435
192	sp	293_1	3.18471699849355
193	sp	293_1	2.88749270614787
194	sp	293_1	2.51398114187492
195	sp	293_1	3.81457709351704
196	sp	293_1	4.24184254706942
197	sp	293_1	6.25633120620926
198	sp	293_1	3.08141457760491
199	sp	293_1	2.297352956344
200	sp	293_1	4.96903071874868
201	sp	293_1	2.31146375689647
202	sp	293_1	2.69443279083975
203	sp	293_1	2.75588157675344
204	sp	293_1	4.30447125608738
205	sp	293_1	5.53989811273755
206	sp	293_1	5.9682040501318
207	sp	293_1	5.34657551286672
208	sp	293_1	2.97703921833577
209	sp	293_1	3.04429359186034
210	sp	293_1	3.18483308760648
211	sp	293_1	2.51116787744664
212	sp	293_1	2.78753388509496
213	sp	293_1	3.70977601841427
214	sp	293_1	4.38714743427087
215	sp	293_1	2.39835048390261
216	sp	293_1	3.66814673236647
217	sp	293_1	3.15643420472439
218	sp	293_1	4.69104018754337
219	sp	293_1	3.74585566034566
220	sp	293_1	3.78400889883735
221	sp	293_1	4.73183268111947
222	sp	293_1	4.40429853315988
223	sp	293_1	3.13943620505758
224	sp	293_1	3.79728105643424
225	sp	293_1	1.88951428954851
226	sp	293_1	4.38993877377422
227	sp	293_1	1.5240307584626
228	sp	293_1	3.00116367395877
229	sp	293_1	4.56195028367779
230	sp	293_1	2.88925036375662
231	sp	293_1	3.68755019029955
232	sp	293_1	6.12127270465857
233	sp	293_1	2.76902087395175
234	sp	293_1	2.68363029609418
235	sp	293_1	3.09058572574581
236	sp	293_1	3.9253443311922
237	sp	293_1	2.44952910002414
238	sp	293_1	2.38818910014554
239	sp	293_1	4.6344677939434
240	sp	293_1	5.60508197139417
241	sp	293_1	2.51153669560177
242	sp	293_1	3.34042041928124
243	sp	293_1	3.75374191351483
244	sp	293_1	5.56825182575224
245	sp	293_1	2.63683021157776
246	sp	293_1	2.1023255882461
247	sp	293_1	3.27327365492091
248	sp	293_1	2.4895916441017
249	sp	293_1	2.63051694334139
250	sp	293_1	2.76726318646194
251	sp	293_1	3.9683742567657
252	sp	293_1	2.17818658615152
253	sp	293_1	2.58029956579078
254	sp	293_1	2.00435807775911
255	sp	293_1	3.33946465855775
256	sp	293_1	2.28061429904701
257	sp	293_1	2.63695453734546
258	sp	293_1	3.25565994175927
259	sp	293_1	2.50390999959714
260	sp	293_1	2.18636378195232
261	sp	293_1	1.74192680931868
262	sp	293_1	2.76517624491209
263	sp	293_1	3.62661181071388
264	sp	293_1	1.74501043172425
265	sp	293_1	2.31121711336807
266	sp	293_1	2.13816484363731
267	sp	293_1	1.74292635274447
268	sp	293_1	2.17003193629845
269	sp	293_1	2.04775543179351
270	sp	293_1	1.56637389985567
271	sp	293_1	5.0676273971318
272	sp	293_1	5.66475292392958
273	sp	293_1	2.48937446709536
274	sp	293_1	2.76790610017056
275	sp	293_1	5.31523268427526
276	sp	293_1	2.76340073081185
277	sp	293_1	2.04665783473612
278	sp	293_1	3.81656248175225
