gene_id	Symbol	Transcript.stable.ID.version	l_utr5	l_cds	l_utr3	start
ENSG00000000003.10	TSPAN6	ENST00000373020.4	112	738	1356	20
ENSG00000001461.12	NIPAL3	ENST00000003912.3	715	975	3791	20
ENSG00000003989.12	SLC7A2	ENST00000494857.1	218	1977	5427	39
ENSG00000004866.14	ST7	ENST00000422922.1	114	1527	246	16
ENSG00000005486.12	RHBDD2	ENST00000006777.6	135	1095	572	20
ENSG00000005893.11	LAMP2	ENST00000371335.4	137	1233	2660	377
ENSG00000006042.7	TMEM98	ENST00000394642.3	382	681	620	4
ENSG00000006576.12	PHTF2	ENST00000307305.8	202	2244	2347	98
ENSG00000006831.9	ADIPOR2	ENST00000357103.4	251	1161	2606	146
ENSG00000007541.10	PIGQ	ENST00000321878.5	159	1746	1101	276
ENSG00000008282.3	SYPL1	ENST00000455385.2	123	726	1302	99
ENSG00000008394.8	MGST1	ENST00000396210.3	84	468	362	15
ENSG00000008952.12	SEC62	ENST00000337002.4	58	1200	5310	196
ENSG00000010278.7	CD9	ENST00000009180.4	51	687	431	13
ENSG00000011105.7	TSPAN9	ENST00000011898.5	161	720	3442	12
ENSG00000011478.7	QPCTL	ENST00000012049.5	221	1149	940	33
ENSG00000012174.7	MBTPS2	ENST00000379484.5	99	1560	2769	2
ENSG00000012232.4	EXTL3	ENST00000220562.4	902	2760	2821	29
ENSG00000012660.9	ELOVL5	ENST00000304434.6	199	900	1728	26
ENSG00000016864.12	GLT8D1	ENST00000491606.1	119	1116	342	7
ENSG00000017260.15	ATP2C1	ENST00000504948.1	202	2712	1800	67
ENSG00000025796.9	SEC63	ENST00000369002.4	180	2283	3948	13
ENSG00000027847.9	B4GALT7	ENST00000029410.5	111	984	652	30
ENSG00000028203.13	VEZT	ENST00000436874.1	105	2340	2117	160
ENSG00000029364.7	SLC39A9	ENST00000031146.4	678	726	3788	10
ENSG00000033170.12	FUT8	ENST00000394585.1	723	1728	833	7
ENSG00000033627.10	ATP6V0A1	ENST00000264649.6	131	2517	1462	407
ENSG00000040487.8	PQLC2	ENST00000375155.3	272	876	657	39
ENSG00000046653.10	GPM6B	ENST00000454189.2	128	741	3088	12
ENSG00000049656.9	CLPTM1L	ENST00000320895.5	258	1617	625	10
ENSG00000049860.9	HEXB	ENST00000261416.7	117	1671	113	13
ENSG00000050130.13	JKAMP	ENST00000261247.9	147	936	639	58
ENSG00000051523.6	CYBA	ENST00000261623.3	139	588	70	7
ENSG00000052802.8	MSMO1	ENST00000261507.6	173	882	1214	55
ENSG00000054793.9	ATP9A	ENST00000338821.5	265	3144	4697	65
ENSG00000055732.8	MCOLN3	ENST00000370589.2	53	1662	1041	286
ENSG00000057252.8	SOAT1	ENST00000367619.3	143	1653	5039	140
ENSG00000058063.11	ATP11B	ENST00000323116.5	260	3534	3531	66
ENSG00000058262.5	SEC61A1	ENST00000243253.3	184	1431	2020	33
ENSG00000058799.9	YIPF1	ENST00000464950.2	70	921	611	124
ENSG00000058804.10	NDC1	ENST00000371429.3	599	2025	2510	20
ENSG00000062716.6	VMP1	ENST00000262291.4	310	1221	1181	44
ENSG00000064651.9	SLC12A2	ENST00000262461.2	189	3639	3057	290
ENSG00000065600.8	TMEM206	ENST00000261455.4	138	1053	1284	64
ENSG00000065665.16	SEC61A2	ENST00000298428.9	89	1431	373	33
ENSG00000066322.8	ELOVL1	ENST00000372458.3	118	840	519	20
ENSG00000067141.12	NEO1	ENST00000560328.1	0	3393	2502	774
ENSG00000067167.3	TRAM1	ENST00000262213.2	170	1125	1490	30
ENSG00000068650.14	ATP11A	ENST00000375645.3	88	3405	5302	72
ENSG00000068697.6	LAPTM4A	ENST00000175091.4	508	702	555	27
ENSG00000069849.6	ATP1B3	ENST00000286371.3	188	840	783	38
ENSG00000070961.10	ATP2B1	ENST00000261173.2	181	3663	2933	377
ENSG00000072041.12	SLC6A15	ENST00000266682.5	542	2193	1309	70
ENSG00000072274.8	TFRC	ENST00000360110.4	170	2283	2658	64
ENSG00000072849.6	DERL2	ENST00000158771.4	56	720	3433	57
ENSG00000073060.11	SCARB1	ENST00000261693.6	127	1530	954	13
ENSG00000074696.8	PTPLAD1	ENST00000261875.5	166	1089	1970	154
ENSG00000075790.6	BCAP29	ENST00000379117.2	137	726	1083	7
