gene_id	Symbol	baseMean.tumor.KO.WT	log2FoldChange.tumor.KO.WT	padj.tumor.KO.WT	gene_biotype	reg_tumor	tpm.Tumor_HDLBP_KO_2	tpm.Tumor_HDLBP_KO_3	tpm.Tumor_HDLBP_KO_4	tpm.Tumor_HDLBP_KO_5	tpm.Tumor_WT_1	tpm.Tumor_WT_2	tpm.Tumor_WT_3	tpm.Tumor_WT_4	tpm.Tumor_WT_5	tpm.Tumor_WT_6	tpm.Tumor_WT_7	tpm.Tumor_WT_8
ENSG00000162825.12	NBPF8	1028.54137825363	8.36551782860996	1.07688362520681e-29	protein_coding	up_tumor	552.38	98.91	695.85	147.89	0.51	1.25	2.09	0.12	0.29	0.12	0.11	0.35
ENSG00000160229.7	ZNF66	52.4375686852897	4.83617793819764	3.86243641559383e-12	protein_coding	up_tumor	18.88	6.81	31.51	13.16	1.25	0.58	0.48	0.28	0	2.09	0.43	1.02
ENSG00000186960.6	C14orf23	261.843513619947	4.81336705497251	3.29335909941057e-07	protein_coding	up_tumor	108.75	15.31	736.86	85.62	20.24	6.84	1.04	7.77	6.67	14.07	7.81	17.95
ENSG00000170370.10	EMX2	217.569405377698	4.57967199143956	8.0908419612935e-13	protein_coding	up_tumor	69.57	5.18	34.15	6.09	2.18	1.46	0.88	0.73	0.79	1.67	1.34	2.34
ENSG00000254462.1	TMX2-CTNND1	2.90874723116335	4.47553829255277	0.0379286105627023	protein_coding	up_tumor	4.64	0	1.96	0	0.53	0	0	0	0	0.35	0	0
ENSG00000254901.3	MEF2BNB	856.594849922208	4.46758372138427	1.81467965776721e-08	protein_coding	up_tumor	184.62	12.06	90.06	11.35	12.65	10.17	10.4	18.39	9.93	7.88	15.82	13.65
ENSG00000166501.8	PRKCB	221.352185202311	4.39255174765776	1.29836157448775e-08	protein_coding	up_tumor	19.51	1.41	12.51	1.55	1.05	0.68	0.53	1.01	0.79	0.86	1.28	1.42
ENSG00000085276.13	MECOM	245.832824160471	4.37966262347544	1.13239282549216e-14	protein_coding	up_tumor	139.21	13.91	190.42	20.6	2.93	1.99	3.19	2.73	1.8	5.36	3.3	4.71
ENSG00000143156.9	NME7	1175.83641323977	4.12099440198535	6.14453867815229e-14	protein_coding	up_tumor	148.42	30.86	181.51	37.16	29.41	37.42	21.5	26.2	15.14	21.42	20.88	27.38
ENSG00000159184.7	HOXB13	304.219073815995	4.02424494233603	4.44557265834806e-11	protein_coding	up_tumor	54.14	4.58	45.88	6.18	2.43	3.18	2.32	2.47	1.4	1.99	2.36	2.66
ENSG00000215014.3	AL645728.1	34.6100365621541	3.99338929643757	2.10178824724651e-19	protein_coding	up_tumor	9.11	9.74	22.9	8.56	0.62	0.41	0.77	1	1.05	1.6	0.74	1.56
ENSG00000196081.5	ZNF724P	113.871512047065	3.97478442102243	1.14845925568392e-15	protein_coding	up_tumor	58.74	23.91	93.68	29.29	3.59	2.57	1.06	3.44	3.46	4.48	5.42	6.37
ENSG00000213420.3	GPC2	149.16427247728	3.89418327866139	1.62202625139088e-11	protein_coding	up_tumor	42.56	5.51	34.71	6.63	3	1.62	2.57	1.96	3.27	3.2	1.95	3.25
