gene_id	Symbol	tpm_cutoff	log2FoldChange.mem.cyt.293	log2FoldChange.mem.cyt.2A15	labels
ENSG00000000003.10	TSPAN6	44.415	2.64769018269492	2.8102947967468	NA
ENSG00000000419.8	DPM1	109.205	-0.57362347038803	-0.152208036230611	NA
ENSG00000000460.12	C1orf112	21.49	0.314654124111988	0.521729662035063	NA
ENSG00000001036.9	FUCA2	57.255	3.85106260168681	3.86714777578023	NA
ENSG00000001084.6	GCLC	21.155	-0.270960940054301	-0.245078212908117	NA
ENSG00000001167.10	NFYA	23.72	-0.459776801777539	-0.341179600516777	NA
ENSG00000001460.13	STPG1	12.045	-0.0921049206228448	-0.077532875851332	NA
ENSG00000001461.12	NIPAL3	23.275	1.7108016919829	1.86096798232909	NA
ENSG00000001497.12	LAS1L	62.145	-0.746761791204751	-0.591126682145578	NA
ENSG00000001630.11	CYP51A1	30.945	2.64682613591231	2.63931621990997	NA
ENSG00000001631.10	KRIT1	13.595	-0.716815877076965	-0.424109626378266	NA
ENSG00000002016.12	RAD52	12.59	0.356100801407026	0.203869336879256	NA
ENSG00000002330.9	BAD	60.34	-0.223408761709713	-0.303653394387127	NA
ENSG00000002549.8	LAP3	32.44	-0.852886083640051	-0.509712201284105	NA
ENSG00000002586.13	CD99	71.66	3.22697676115021	3.63162511939386	NA
ENSG00000002822.11	MAD1L1	12.31	-0.513431882335052	-0.210899262033614	NA
ENSG00000002834.13	LASP1	27.79	-0.531434609263179	-0.52988681254945	NA
ENSG00000002919.10	SNX11	23.805	-0.0617105059687251	-0.16898003591837	NA
ENSG00000003056.3	M6PR	70.34	3.33865708461443	3.46425443202535	NA
ENSG00000003249.9	DBNDD1	27.66	-0.180260561270047	0.0335846893817465	NA
ENSG00000003393.10	ALS2	11.115	-0.408085330610068	-0.574396134150997	NA
ENSG00000003402.15	CFLAR	10.28	0.266018290913093	0.138600234082095	NA
ENSG00000003509.11	NDUFAF7	13.355	-0.444932077136999	-0.314333879724645	NA
ENSG00000003756.12	RBM5	35.595	0.678286968480611	0.56443232610381	NA
ENSG00000003989.12	SLC7A2	26.06	3.08930097971992	2.92054774418678	NA
ENSG00000004059.6	ARF5	207.575	0.336490957334459	0.367013841092708	NA
ENSG00000004139.9	SARM1	14.855	0.24260716660524	0.289736446763855	NA
ENSG00000004142.7	POLDIP2	129.245	-0.000201978804736205	0.00234122046268698	NA
ENSG00000004399.8	PLXND1	17.01	1.87487538194939	1.92978147032822	NA
ENSG00000004455.12	AK2	309.63	-0.391685201556621	-0.360382877870596	NA
ENSG00000004478.5	FKBP4	344.43	-0.759647975410622	-0.589633759063803	NA
ENSG00000004487.11	KDM1A	105.23	-0.768216338883247	-0.577050092990239	NA
ENSG00000004534.10	RBM6	19.94	-0.503460789571472	-0.474298401884159	NA
ENSG00000004660.10	CAMKK1	16.675	-0.143674767819975	0.112648420167856	NA
ENSG00000004700.11	RECQL	20.565	-1.58572820225123	-1.10188971357414	NA
ENSG00000004779.5	NDUFAB1	393.275	-0.28410871530406	-0.260394456047876	NA
ENSG00000004864.9	SLC25A13	34.935	-0.645890418005094	-0.358337719574882	NA
ENSG00000004866.14	ST7	28.33	1.52282880021902	1.73881911664055	NA
ENSG00000004897.7	CDC27	41.745	-0.814191186545348	-0.662580205824249	NA
ENSG00000004961.10	HCCS	12.67	0.588415676732812	0.963531782487873	NA
ENSG00000004975.7	DVL2	35.9	-0.641267228550053	-0.406728877511785	NA
ENSG00000005007.8	UPF1	22.835	-1.05537105148914	-0.697904740523434	NA
ENSG00000005020.8	SKAP2	23.2	-0.927664444869186	-0.585153815377103	NA
ENSG00000005022.5	SLC25A5	746.985	-0.234101067722264	-0.0971891397660311	NA
ENSG00000005059.11	CCDC109B	25.455	0.0774193155250149	0.231198977407429	NA
ENSG00000005073.5	HOXA11	21.455	-0.296965388169279	-0.0878159901344365	NA
ENSG00000005075.11	POLR2J	149.42	-0.0426351836155368	0.00414963372864402	NA
ENSG00000005100.8	DHX33	29.755	-0.340302490900204	-0.517686000858525	NA
