chr1	start1	stop1	cluster_id1	tc_rep1	strand	uniq_reads1	ccr1	chr2	start2	stop2	cluster_id2	tc_rep2	uniq_reads2	ccr2	overlap_nt	gene	region
chr1	886507	886541	CID_485090	11	-	13	886513	chr1	886509	886546	CID_334964	8	10	886516	32	NOC2L	CDS
chr1	886564	886621	CID_485092	13	-	13	886612	chr1	886588	886617	CID_334967	5	6	886612	29	NOC2L	CDS
chr1	887379	887518	CID_485094	38	-	44	887413	chr1	887379	887501	CID_334968	19	30	887413	122	NOC2L	CDS
chr1	889384	889449	CID_485104	6	-	7	889403	chr1	889384	889449	CID_334976	9	9	889403	65	NOC2L	CDS
chr1	892297	892346	CID_485117	11	-	11	892324	chr1	892300	892327	CID_334985	5	8	892318	27	NOC2L	CDS
chr1	892523	892577	CID_485123	2	-	5	892534	chr1	892494	892561	CID_334987	5	6	892542	38	NOC2L	CDS
chr1	934514	934570	CID_485275	10	-	25	934548	chr1	934498	934577	CID_335085	21	28	934548	56	HES4	CDS
chr1	934910	934948	CID_485279	8	-	12	934934	chr1	934916	934953	CID_335088	7	10	934943	32	HES4	CDS
chr1	970657	970704	CID_485395	18	+	23	970683	chr1	970657	970701	CID_335194	10	14	970673	44	AGRN	CDS
chr1	976551	976775	CID_485412	45	+	59	976675	chr1	976648	976768	CID_335204	17	20	976675	120	AGRN	CDS
chr1	977447	977542	CID_485419	21	+	21	977465	chr1	977447	977538	CID_335210	13	17	977471	91	AGRN	CDS
chr1	978918	979110	CID_485424	43	+	71	978938	chr1	978918	979112	CID_335213	38	55	978938	192	AGRN	CDS
chr1	979488	979629	CID_485429	41	+	64	979516	chr1	979488	979637	CID_335216	39	67	979510	141	AGRN	CDS
chr1	979722	979808	CID_485432	15	+	16	979789	chr1	979710	979806	CID_335217	12	17	979795	84	AGRN	CDS
chr1	980539	980652	CID_485433	25	+	39	980581	chr1	980542	980652	CID_335218	20	31	980576	110	AGRN	CDS
chr1	980740	980898	CID_485435	71	+	110	980854	chr1	980740	980894	CID_335220	46	76	980854	154	AGRN	CDS
chr1	981344	981468	CID_485438	65	+	81	981436	chr1	981344	981468	CID_335223	55	71	981436	124	AGRN	CDS
chr1	982957	983054	CID_485448	45	+	68	982972	chr1	982957	983061	CID_335235	31	45	982972	97	AGRN	CDS
chr1	983158	983268	CID_485449	23	+	31	983227	chr1	983161	983275	CID_335237	33	43	983227	107	AGRN	CDS
chr1	984256	984431	CID_485454	180	+	259	984294	chr1	984249	984439	CID_335244	156	224	984303	175	AGRN	CDS
chr1	984945	985175	CID_485459	59	+	91	985026	chr1	984959	985175	CID_335250	42	68	985031	216	AGRN	CDS
chr1	985609	985710	CID_485463	51	+	76	985651	chr1	985609	985709	CID_335252	32	48	985651	100	AGRN	CDS
