pos_from_start	region	localization	sample	scaled_tc_rpm
1	cds	cyt	frac.tc_num1	0.0101801799979938
2	cds	cyt	frac.tc_num1	0
3	cds	cyt	frac.tc_num1	0.000896329517746931
4	cds	cyt	frac.tc_num1	0.000115241361507541
5	cds	cyt	frac.tc_num1	0.00157556143972804
6	cds	cyt	frac.tc_num1	0.000593736357664976
7	cds	cyt	frac.tc_num1	0.0011873737875102
8	cds	cyt	frac.tc_num1	0.0011608643175276
9	cds	cyt	frac.tc_num1	0.00116672168203617
10	cds	cyt	frac.tc_num1	0.0013935057397226
11	cds	cyt	frac.tc_num1	0.000700936359701323
12	cds	cyt	frac.tc_num1	0.000815067779712215
13	cds	cyt	frac.tc_num1	0.0010373950808119
14	cds	cyt	frac.tc_num1	0.000105709636030613
15	cds	cyt	frac.tc_num1	0.00131284716028159
16	cds	cyt	frac.tc_num1	0.0023833620742504
17	cds	cyt	frac.tc_num1	0.00168293961073816
18	cds	cyt	frac.tc_num1	0.00093752542917013
19	cds	cyt	frac.tc_num1	0.000611173123110597
20	cds	cyt	frac.tc_num1	0.000650024304573047
21	cds	cyt	frac.tc_num1	0.0012779443362158
22	cds	cyt	frac.tc_num1	0.000974954367978508
23	cds	cyt	frac.tc_num1	0.00109422872760602
24	cds	cyt	frac.tc_num1	0.000989643049591545
25	cds	cyt	frac.tc_num1	0.00205667006174751
26	cds	cyt	frac.tc_num1	0.00204468440038697
27	cds	cyt	frac.tc_num1	0.00147359771797214
28	cds	cyt	frac.tc_num1	0.00290598442260714
29	cds	cyt	frac.tc_num1	0.00102763745609816
30	cds	cyt	frac.tc_num1	0.000615583230950887
31	cds	cyt	frac.tc_num1	0.00104564441684453
32	cds	cyt	frac.tc_num1	0.00119580824712214
33	cds	cyt	frac.tc_num1	0.00109765406902812
34	cds	cyt	frac.tc_num1	0.00200442773797911
35	cds	cyt	frac.tc_num1	0.00114137287477527
36	cds	cyt	frac.tc_num1	0.00185565681403597
37	cds	cyt	frac.tc_num1	0.00165115569051733
38	cds	cyt	frac.tc_num1	0.0010532916918605
39	cds	cyt	frac.tc_num1	0.00130433972481804
40	cds	cyt	frac.tc_num1	0.00172268371992716
41	cds	cyt	frac.tc_num1	0.00123222763904134
42	cds	cyt	frac.tc_num1	0.00225119517633476
43	cds	cyt	frac.tc_num1	0.00129534035973497
44	cds	cyt	frac.tc_num1	0.00152683461715113
45	cds	cyt	frac.tc_num1	0.00101396061609771
46	cds	cyt	frac.tc_num1	0.00143045738795259
47	cds	cyt	frac.tc_num1	0.00110669594618146
48	cds	cyt	frac.tc_num1	0.00151000586124488
49	cds	cyt	frac.tc_num1	0.00130707670730663
50	cds	cyt	frac.tc_num1	0.000582514766059355
51	cds	cyt	frac.tc_num1	0.00027212970128016
52	cds	cyt	frac.tc_num1	0.00115984287621196
53	cds	cyt	frac.tc_num1	0.00106288313167002
54	cds	cyt	frac.tc_num1	0.000872633677913711
55	cds	cyt	frac.tc_num1	0.000814167154841957
56	cds	cyt	frac.tc_num1	0.00149883839539744
57	cds	cyt	frac.tc_num1	0.00112861161351134
58	cds	cyt	frac.tc_num1	0.00258640991046696
59	cds	cyt	frac.tc_num1	0.000883070900801092
60	cds	cyt	frac.tc_num1	0.0014986803449732
61	cds	cyt	frac.tc_num1	0.00173366685570655
62	cds	cyt	frac.tc_num1	0.00128925382879903
63	cds	cyt	frac.tc_num1	7.77495052304213e-05
64	cds	cyt	frac.tc_num1	0.00124150636624982
65	cds	cyt	frac.tc_num1	0.00116003412106739
66	cds	cyt	frac.tc_num1	0.00187987213636204
67	cds	cyt	frac.tc_num1	0.00197153821136926
68	cds	cyt	frac.tc_num1	0.000852770247812345
69	cds	cyt	frac.tc_num1	0.00139074339904071
70	cds	cyt	frac.tc_num1	0.000999104909632565
71	cds	cyt	frac.tc_num1	0.00174495947704211
72	cds	cyt	frac.tc_num1	0.000668056180882869
